,bigrams,freq
177,"('griffiths', 'amp')",4
178,"('amp', 'well')",3
179,"('evidence', 'along')",6
180,"('size', 'however')",14
181,"('however', 'mice')",8
182,"('however', 'showed')",39
183,"('mice', 'showed')",12
184,"('follicles', 'suggested')",5
185,"('suggested', 'activity')",7
186,"('suggested', 'contrary')",4
187,"('normal', 'activity')",3
188,"('normal', 'contrary')",5
189,"('normal', 'results')",5
190,"('activity', 'findings')",6
191,"('activity', 'contrary')",3
192,"('activity', 'results')",18
193,"('findings', 'contrary')",12
194,"('findings', 'results')",59
195,"('contrary', 'results')",58
196,"('results', 'strong')",16
197,"('several', 'mice')",3
198,"('several', 'including')",18
199,"('several', 'contrast')",4
200,"('strains', 'including')",4
201,"('strains', 'contrast')",6
202,"('mice', 'including')",3
203,"('mice', 'contrast')",9
204,"('mice', 'data')",8
205,"('including', 'contrast')",4
206,"('including', 'data')",3
207,"('including', 'used')",3
208,"('contrast', 'data')",64
209,"('contrast', 'used')",7
210,"('contrast', 'without')",7
211,"('data', 'used')",9
212,"('data', 'without')",4
213,"('used', 'without')",3
214,"('used', 'significantly')",4
215,"('without', 'significantly')",4
216,"('therapeutic', 'doses')",6
217,"('causes', 'levels')",4
218,"('increases', 'levels')",11
219,"('also', 'found')",131
220,"('also', 'significant')",30
221,"('found', 'significant')",89
222,"('significant', 'levels')",21
223,"('suppression', 'levels')",3
224,"('levels', 'contrast')",26
225,"('levels', 'data')",4
226,"('therapeutic', 'data')",3
227,"('doses', 'used')",11
228,"('levels', 'although')",28
229,"('levels', 'mechanism')",3
230,"('therapeutic', 'although')",3
231,"('although', 'tissue')",3
232,"('although', 'injury')",3
233,"('mechanism', 'injury')",3
234,"('tissue', 'mice')",3
235,"('infected', 'mice')",7
236,"('mice', 'phenotype')",4
237,"('mice', 'mice')",32
238,"('remains', 'unclear')",10
239,"('phenotype', 'mice')",6
240,"('activated', 'result')",5
241,"('result', 'due')",11
242,"('due', 'absence')",10
243,"('due', 'cells')",5
244,"('due', 'presence')",9
245,"('absence', 'cells')",4
246,"('cells', 'presence')",13
247,"('cells', 'cells')",102
248,"('cells', 'development')",6
249,"('requirement', 'cells')",4
250,"('presence', 'cells')",3
251,"('presence', 'development')",4
252,"('development', 'however')",27
253,"('inflammatory', 'lesions')",6
254,"('lesions', 'studies')",3
255,"('however', 'demonstrated')",19
256,"('however', 'studies')",150
257,"('however', 'contrast')",75
258,"('demonstrated', 'studies')",5
259,"('demonstrated', 'contrast')",3
260,"('studies', 'contrast')",18
261,"('studies', 'previous')",17
262,"('studies', 'studies')",48
263,"('contrast', 'previous')",307
264,"('contrast', 'cells')",27
265,"('previous', 'studies')",680
266,"('previous', 'cells')",16
267,"('previous', 'enhanced')",14
268,"('studies', 'cells')",38
269,"('studies', 'enhanced')",8
270,"('cells', 'enhanced')",7
271,"('cells', 'bacterial')",3
272,"('cells', 'found')",26
273,"('enhanced', 'found')",3
274,"('found', 'evidence')",58
275,"('found', 'cells')",26
276,"('found', 'limit')",4
277,"('evidence', 'cells')",8
278,"('evidence', 'control')",7
279,"('cells', 'control')",7
280,"('cells', 'growth')",10
281,"('sites', 'first')",3
282,"('infection', 'days')",3
283,"('infection', 'infection')",9
284,"('first', 'days')",12
285,"('first', 'higher')",9
286,"('days', 'higher')",4
287,"('infection', 'higher')",28
288,"('infection', 'although')",6
289,"('slightly', 'higher')",82
290,"('higher', 'although')",21
291,"('higher', 'statistically')",4
292,"('higher', 'significant')",9
293,"('higher', 'intake')",10
294,"('although', 'statistically')",13
295,"('although', 'significant')",33
296,"('although', 'intake')",3
297,"('statistically', 'significant')",109
298,"('statistically', 'intake')",3
299,"('statistically', 'observed')",5
300,"('significant', 'intake')",7
301,"('significant', 'observed')",38
302,"('significant', 'children')",3
303,"('intake', 'observed')",4
304,"('observed', 'children')",25
305,"('observed', 'compared')",27
306,"('children', 'compared')",7
307,"('children', 'children')",15
308,"('children', 'without')",9
309,"('depression', 'without')",3
310,"('compared', 'children')",11
311,"('compared', 'without')",12
312,"('children', 'however')",12
313,"('without', 'however')",13
314,"('without', 'study')",11
315,"('symptoms', 'however')",6
316,"('symptoms', 'study')",9
317,"('depression', 'study')",3
318,"('however', 'children')",9
319,"('however', 'higher')",55
320,"('study', 'children')",39
321,"('children', 'higher')",8
322,"('higher', 'amounts')",7
323,"('higher', 'overall')",6
324,"('less', 'likely')",25
325,"('reduction', 'activity')",3
326,"('transcription', 'factors')",29
327,"('markedly', 'cells')",4
328,"('enhanced', 'cells')",3
329,"('resistant', 'contrast')",3
330,"('cells', 'contrast')",38
331,"('cells', 'results')",36
332,"('cells', 'drug')",7
333,"('contrast', 'results')",180
334,"('contrast', 'drug')",3
335,"('contrast', 'could')",11
336,"('results', 'could')",46
337,"('results', 'enhanced')",9
338,"('could', 'enhanced')",7
339,"('could', 'human')",3
340,"('human', 'carcinoma')",6
341,"('human', 'cells')",41
342,"('ovarian', 'carcinoma')",6
343,"('carcinoma', 'cells')",12
344,"('cells', 'treatment')",10
345,"('response', 'shown')",4
346,"('response', 'associated')",7
347,"('shown', 'associated')",14
348,"('alterations', 'also')",3
349,"('also', 'show')",24
350,"('must', 'made')",3
351,"('must', 'using')",4
352,"('using', 'approach')",9
353,"('expression', 'markers')",6
354,"('expression', 'contrasting')",4
355,"('expression', 'previous')",10
356,"('contrasting', 'previous')",8
357,"('contrasting', 'findings')",14
358,"('previous', 'findings')",102
359,"('previous', 'rat')",3
360,"('previous', 'demonstrated')",35
361,"('findings', 'rat')",4
362,"('findings', 'demonstrated')",12
363,"('findings', 'high')",7
364,"('rat', 'mouse')",8
365,"('mouse', 'demonstrated')",5
366,"('mouse', 'high')",3
367,"('demonstrated', 'high')",9
368,"('high', 'basal')",4
369,"('capacity', 'peptide')",3
370,"('peptide', 'mhc')",3
371,"('mhc', 'class')",13
372,"('mhc', 'molecules')",3
373,"('class', 'molecules')",5
374,"('class', 'cells')",7
375,"('molecules', 'cells')",3
376,"('stimulation', 'cells')",4
377,"('naive', 'cells')",15
378,"('cells', 'rather')",9
379,"('rather', 'capacity')",5
380,"('rather', 'process')",5
381,"('rather', 'protein')",4
382,"('capacity', 'protein')",3
383,"('intact', 'cells')",8
384,"('protein', 'cells')",16
385,"('population', 'also')",4
386,"('cells', 'also')",20
387,"('cells', 'observed')",32
388,"('cells', 'lung')",5
389,"('also', 'observed')",74
390,"('observed', 'lung')",3
391,"('observed', 'typical')",4
392,"('staining', 'pattern')",3
393,"('pattern', 'described')",4
394,"('lymph', 'nodes')",31
395,"('nodes', 'stage')",3
396,"('stage', 'however')",9
397,"('stage', 'contrast')",13
398,"('remain', 'however')",3
399,"('however', 'results')",277
400,"('contrast', 'preliminary')",4
401,"('results', 'data')",36
402,"('results', 'suggest')",105
403,"('preliminary', 'data')",5
404,"('data', 'suggest')",53
405,"('following', 'exposure')",6
406,"('fact', 'previous')",4
407,"('fact', 'studies')",18
408,"('fact', 'group')",6
409,"('fact', 'showed')",5
410,"('previous', 'group')",23
411,"('previous', 'showed')",67
412,"('studies', 'group')",19
413,"('studies', 'showed')",115
414,"('studies', 'fat')",3
415,"('group', 'showed')",18
416,"('group', 'greater')",11
417,"('showed', 'greater')",20
418,"('greater', 'risk')",10
419,"('predictive', 'risk')",5
420,"('risk', 'factor')",81
421,"('factor', 'disease')",5
422,"('fatty', 'liver')",4
423,"('liver', 'disease')",13
424,"('disease', 'risk')",7
425,"('risk', 'metabolic')",3
426,"('risk', 'syndrome')",5
427,"('risk', 'however')",28
428,"('factor', 'syndrome')",3
429,"('factor', 'however')",15
430,"('metabolic', 'syndrome')",5
431,"('metabolic', 'however')",3
432,"('syndrome', 'however')",4
433,"('however', 'investigate')",5
434,"('however', 'association')",36
435,"('association', 'present')",9
436,"('bone', 'study')",3
437,"('health', 'present')",6
438,"('health', 'study')",16
439,"('present', 'study')",1278
440,"('present', 'fact')",18
441,"('present', 'associated')",9
442,"('study', 'fact')",23
443,"('study', 'adiponectin')",24
444,"('study', 'associated')",38
445,"('study', 'protective')",8
446,"('fact', 'associated')",6
447,"('fact', 'protective')",3
448,"('fact', 'effect')",8
449,"('adiponectin', 'associated')",4
450,"('adiponectin', 'effect')",4
451,"('associated', 'development')",5
452,"('protective', 'effect')",19
453,"('protective', 'development')",3
454,"('effect', 'development')",7
455,"('effect', 'however')",22
456,"('effect', 'concentration')",6
457,"('development', 'reduced')",3
458,"('however', 'concentration')",8
459,"('however', 'reduced')",13
460,"('reduced', 'may')",8
461,"('obese', 'adolescents')",4
462,"('may', 'partially')",9
463,"('may', 'explain')",64
464,"('may', 'able')",6
465,"('may', 'show')",10
466,"('partially', 'explain')",3
467,"('show', 'role')",5
468,"('protective', 'role')",5
469,"('bone', 'mineral')",3
470,"('bone', 'density')",6
471,"('mineral', 'density')",3
472,"('growth', 'factor')",17
473,"('growth', 'withdrawal')",4
474,"('growth', 'despite')",7
475,"('growth', 'expression')",4
476,"('factor', 'withdrawal')",4
477,"('factor', 'expression')",5
478,"('despite', 'apparent')",6
479,"('expression', 'provided')",4
480,"('expression', 'apparent')",4
481,"('provided', 'benefits')",3
482,"('deprivation', 'growth')",3
483,"('prolonged', 'growth')",5
484,"('growth', 'shown')",4
485,"('factor', 'shown')",6
486,"('shown', 'cell')",6
487,"('essential', 'cell')",4
488,"('support', 'cells')",10
489,"('cell', 'viability')",3
490,"('cell', 'cells')",31
491,"('viability', 'cells')",4
492,"('however', 'found')",139
493,"('however', 'metabolites')",3
494,"('however', 'required')",7
495,"('however', 'support')",19
496,"('found', 'required')",5
497,"('found', 'support')",10
498,"('found', 'survival')",19
499,"('required', 'survival')",3
500,"('required', 'factor')",3
501,"('support', 'survival')",3
502,"('support', 'growth')",3
503,"('survival', 'growth')",13
504,"('growth', 'cells')",14
505,"('factor', 'cells')",5
506,"('factor', 'within')",3
507,"('cells', 'within')",9
508,"('cells', 'least')",9
509,"('cells', 'cytokine')",3
510,"('within', 'period')",5
511,"('least', 'period')",5
512,"('significantly', 'lower')",69
513,"('lower', 'shown')",3
514,"('shown', 'however')",9
515,"('involved', 'however')",3
516,"('however', 'data')",81
517,"('however', 'indicate')",20
518,"('data', 'indicate')",35
519,"('data', 'sirna')",3
520,"('data', 'fraction')",3
521,"('indicate', 'sirna')",4
522,"('indicate', 'probably')",4
523,"('probably', 'active')",3
524,"('probably', 'however')",3
525,"('however', 'mechanism')",6
526,"('two', 'groups')",36
527,"('groups', 'activation')",3
528,"('activation', 'group')",3
529,"('activation', 'found')",10
530,"('recently', 'found')",7
531,"('another', 'group')",6
532,"('another', 'found')",18
533,"('another', 'type')",3
534,"('group', 'found')",36
535,"('group', 'type')",8
536,"('found', 'type')",25
537,"('found', 'ifn')",3
538,"('found', 'signaling')",4
539,"('type', 'ifn')",3
540,"('type', 'signaling')",4
541,"('ifn', 'signaling')",4
542,"('signaling', 'signaling')",3
543,"('signaling', 'upon')",3
544,"('signaling', 'lps')",4
545,"('upon', 'lps')",3
546,"('upon', 'treatment')",8
547,"('upon', 'specific')",5
548,"('lps', 'treatment')",3
549,"('clear', 'specific')",3
550,"('negative', 'regulator')",3
551,"('negative', 'signaling')",3
552,"('regulator', 'signaling')",3
553,"('detect', 'changes')",4
554,"('detect', 'activation')",5
555,"('changes', 'activation')",3
556,"('activation', 'signaling')",3
557,"('lps', 'another')",3
558,"('another', 'paper')",3
559,"('another', 'reports')",4
560,"('vary', 'depending')",3
561,"('vary', 'experimental')",5
562,"('vary', 'however')",4
563,"('depending', 'experimental')",3
564,"('depending', 'results')",5
565,"('experimental', 'parameters')",3
566,"('experimental', 'however')",12
567,"('experimental', 'results')",52
568,"('experimental', 'considered')",3
569,"('parameters', 'however')",5
570,"('parameters', 'results')",10
571,"('parameters', 'considered')",5
572,"('however', 'considered')",21
573,"('however', 'relatively')",6
574,"('however', 'low')",18
575,"('results', 'considered')",7
576,"('results', 'low')",16
577,"('results', 'compared')",38
578,"('considered', 'relatively')",4
579,"('considered', 'low')",6
580,"('considered', 'compared')",8
581,"('relatively', 'low')",45
582,"('relatively', 'compared')",31
583,"('relatively', 'published')",6
584,"('relatively', 'studies')",5
585,"('low', 'compared')",53
586,"('low', 'studies')",20
587,"('low', 'difference')",5
588,"('compared', 'published')",20
589,"('compared', 'studies')",109
590,"('compared', 'difference')",11
591,"('compared', 'may')",18
592,"('published', 'studies')",33
593,"('published', 'may')",7
594,"('studies', 'difference')",42
595,"('studies', 'may')",62
596,"('studies', 'explained')",26
597,"('studies', 'due')",36
598,"('difference', 'may')",51
599,"('difference', 'explained')",17
600,"('difference', 'due')",34
601,"('difference', 'different')",14
602,"('may', 'explained')",73
603,"('may', 'due')",193
604,"('may', 'different')",91
605,"('may', 'molar')",3
606,"('explained', 'due')",3
607,"('explained', 'different')",23
608,"('explained', 'molar')",3
609,"('explained', 'mass')",5
610,"('due', 'different')",72
611,"('due', 'mass')",6
612,"('due', 'values')",8
613,"('different', 'mass')",4
614,"('different', 'values')",22
615,"('mass', 'values')",9
616,"('mass', 'used')",5
617,"('values', 'used')",14
618,"('used', 'papers')",3
619,"('used', 'another')",3
620,"('used', 'paper')",3
621,"('referenced', 'study')",3
622,"('study', 'plasma')",4
623,"('study', 'levels')",52
624,"('study', 'exceeded')",8
625,"('plasma', 'levels')",21
626,"('levels', 'two')",4
627,"('two', 'five')",3
628,"('two', 'patients')",21
629,"('five', 'patients')",10
630,"('patients', 'developed')",8
631,"('patients', 'whereas')",9
632,"('patients', 'study')",160
633,"('developed', 'study')",10
634,"('whereas', 'study')",41
635,"('whereas', 'three')",4
636,"('study', 'case')",13
637,"('study', 'three')",22
638,"('study', 'patients')",140
639,"('case', 'three')",7
640,"('case', 'patients')",5
641,"('three', 'patients')",9
642,"('patients', 'level')",7
643,"('patients', 'may')",18
644,"('patients', 'suggest')",11
645,"('level', 'may')",18
646,"('may', 'suggest')",11
647,"('may', 'ethnic')",4
648,"('may', 'difference')",34
649,"('may', 'observation')",3
650,"('suggest', 'difference')",4
651,"('ethnic', 'difference')",5
652,"('difference', 'observation')",4
653,"('difference', 'previous')",16
654,"('difference', 'work')",9
655,"('observation', 'differs')",3
656,"('observation', 'previous')",26
657,"('observation', 'showing')",3
658,"('differs', 'previous')",39
659,"('differs', 'work')",11
660,"('previous', 'work')",91
661,"('previous', 'showing')",43
662,"('previous', 'increased')",11
663,"('work', 'showing')",3
664,"('work', 'increased')",4
665,"('showing', 'weight')",3
666,"('increased', 'weight')",5
667,"('weight', 'height')",3
668,"('cell', 'production')",5
669,"('cell', 'rate')",3
670,"('production', 'rate')",8
671,"('production', 'small')",3
672,"('rate', 'small')",3
673,"('amp', 'however')",90
674,"('studies', 'however')",67
675,"('studies', 'lower')",31
676,"('however', 'animals')",3
677,"('however', 'lower')",53
678,"('animals', 'housed')",3
679,"('animals', 'lower')",10
680,"('lower', 'temperatures')",6
681,"('literature', 'showing')",5
682,"('literature', 'price')",3
683,"('literature', 'data')",18
684,"('price', 'data')",3
685,"('data', 'data')",20
686,"('data', 'contrasts')",8
687,"('contrasts', 'central')",3
688,"('result', 'literature')",12
689,"('information', 'literature')",4
690,"('sales', 'literature')",4
691,"('cost', 'capital')",3
692,"('return', 'issue')",4
693,"('addressed', 'literature')",3
694,"('earlier', 'previously')",5
695,"('earlier', 'normal')",4
696,"('previously', 'normal')",3
697,"('previously', 'kidney')",3
698,"('previously', 'case')",3
699,"('previously', 'due')",6
700,"('case', 'due')",3
701,"('due', 'poor')",3
702,"('renal', 'hypoplasia')",4
703,"('left', 'side')",12
704,"('left', 'previous')",3
705,"('left', 'literature')",3
706,"('side', 'previous')",8
707,"('contradiction', 'previous')",11
708,"('contradiction', 'literature')",6
709,"('previous', 'literature')",29
710,"('previous', 'demonstrating')",9
711,"('previous', 'right')",3
712,"('demonstrating', 'similar')",5
713,"('similar', 'based')",10
714,"('kidney', 'known')",5
715,"('known', 'syndrome')",3
716,"('syndrome', 'anomaly')",4
717,"('kidney', 'anomaly')",4
718,"('anomaly', 'leg')",4
719,"('anomaly', 'thrombosis')",4
720,"('thus', 'alteration')",3
721,"('thus', 'overall')",3
722,"('thus', 'level')",9
723,"('thus', 'heparan')",3
724,"('alteration', 'overall')",3
725,"('alteration', 'level')",3
726,"('alteration', 'heparan')",3
727,"('alteration', 'sulphate')",3
728,"('overall', 'level')",4
729,"('overall', 'heparan')",3
730,"('overall', 'sulphate')",3
731,"('overall', 'sulphation')",3
732,"('level', 'heparan')",3
733,"('level', 'sulphate')",3
734,"('level', 'sulphation')",3
735,"('level', 'almost')",4
736,"('heparan', 'sulphate')",3
737,"('heparan', 'sulphation')",3
738,"('heparan', 'almost')",3
739,"('heparan', 'certainly')",3
740,"('sulphate', 'sulphation')",3
741,"('sulphate', 'almost')",3
742,"('sulphate', 'certainly')",3
743,"('sulphate', 'factor')",3
744,"('sulphation', 'almost')",3
745,"('sulphation', 'certainly')",3
746,"('sulphation', 'factor')",3
747,"('sulphation', 'ecm')",3
748,"('almost', 'certainly')",3
749,"('almost', 'factor')",4
750,"('almost', 'ecm')",3
751,"('almost', 'alterations')",3
752,"('certainly', 'factor')",3
753,"('certainly', 'ecm')",3
754,"('certainly', 'alterations')",3
755,"('certainly', 'observed')",3
756,"('factor', 'ecm')",3
757,"('factor', 'alterations')",3
758,"('factor', 'observed')",5
759,"('factor', 'transformed')",3
760,"('ecm', 'alterations')",3
761,"('ecm', 'observed')",3
762,"('ecm', 'transformed')",3
763,"('ecm', 'keratinocytes')",3
764,"('alterations', 'observed')",6
765,"('alterations', 'transformed')",3
766,"('alterations', 'keratinocytes')",3
767,"('alterations', 'brown')",5
768,"('observed', 'transformed')",5
769,"('observed', 'keratinocytes')",3
770,"('observed', 'brown')",3
771,"('observed', 'amp')",14
772,"('transformed', 'keratinocytes')",3
773,"('transformed', 'brown')",3
774,"('transformed', 'amp')",6
775,"('transformed', 'parkinson')",3
776,"('keratinocytes', 'brown')",3
777,"('keratinocytes', 'amp')",3
778,"('keratinocytes', 'parkinson')",3
779,"('keratinocytes', 'although')",3
780,"('brown', 'amp')",19
781,"('brown', 'parkinson')",3
782,"('brown', 'although')",3
783,"('brown', 'rule')",3
784,"('amp', 'parkinson')",3
785,"('amp', 'although')",20
786,"('amp', 'rule')",4
787,"('amp', 'possibility')",6
788,"('parkinson', 'although')",3
789,"('parkinson', 'rule')",3
790,"('parkinson', 'possibility')",3
791,"('parkinson', 'changes')",3
792,"('although', 'rule')",4
793,"('although', 'possibility')",8
794,"('although', 'changes')",12
795,"('although', 'distribution')",3
796,"('rule', 'possibility')",13
797,"('rule', 'changes')",5
798,"('rule', 'distribution')",3
799,"('rule', 'ester')",3
800,"('possibility', 'changes')",5
801,"('possibility', 'distribution')",3
802,"('possibility', 'ester')",3
803,"('possibility', 'sulphate')",3
804,"('changes', 'distribution')",4
805,"('changes', 'ester')",3
806,"('changes', 'sulphate')",3
807,"('changes', 'groups')",3
808,"('distribution', 'ester')",3
809,"('distribution', 'sulphate')",3
810,"('distribution', 'groups')",4
811,"('distribution', 'may')",5
812,"('ester', 'sulphate')",3
813,"('ester', 'groups')",3
814,"('ester', 'may')",3
815,"('ester', 'occurred')",3
816,"('sulphate', 'groups')",3
817,"('sulphate', 'may')",3
818,"('sulphate', 'occurred')",3
819,"('sulphate', 'since')",3
820,"('groups', 'may')",14
821,"('groups', 'occurred')",3
822,"('groups', 'since')",4
823,"('groups', 'would')",3
824,"('may', 'occurred')",7
825,"('may', 'since')",11
826,"('may', 'would')",4
827,"('may', 'detected')",4
828,"('occurred', 'since')",3
829,"('occurred', 'would')",4
830,"('occurred', 'detected')",3
831,"('occurred', 'methods')",3
832,"('since', 'would')",3
833,"('since', 'detected')",5
834,"('since', 'methods')",3
835,"('since', 'employed')",3
836,"('would', 'detected')",3
837,"('would', 'methods')",3
838,"('would', 'employed')",3
839,"('would', 'furthermore')",5
840,"('detected', 'methods')",4
841,"('detected', 'employed')",3
842,"('detected', 'furthermore')",3
843,"('detected', 'results')",6
844,"('methods', 'employed')",6
845,"('methods', 'furthermore')",3
846,"('methods', 'results')",5
847,"('methods', 'contrast')",5
848,"('employed', 'furthermore')",3
849,"('employed', 'results')",4
850,"('employed', 'contrast')",3
851,"('employed', 'many')",3
852,"('furthermore', 'results')",16
853,"('furthermore', 'contrast')",4
854,"('furthermore', 'many')",7
855,"('furthermore', 'reports')",3
856,"('results', 'contrast')",149
857,"('results', 'many')",13
858,"('results', 'reports')",28
859,"('results', 'undersulphated')",3
860,"('contrast', 'many')",20
861,"('contrast', 'reports')",92
862,"('contrast', 'undersulphated')",3
863,"('contrast', 'heparan')",3
864,"('many', 'reports')",8
865,"('many', 'undersulphated')",3
866,"('many', 'heparan')",3
867,"('many', 'sulphates')",3
868,"('reports', 'undersulphated')",3
869,"('reports', 'heparan')",3
870,"('reports', 'sulphates')",3
871,"('reports', 'produced')",3
872,"('undersulphated', 'heparan')",3
873,"('undersulphated', 'sulphates')",3
874,"('undersulphated', 'produced')",3
875,"('undersulphated', 'types')",3
876,"('heparan', 'sulphates')",3
877,"('heparan', 'produced')",3
878,"('heparan', 'types')",3
879,"('heparan', 'transformed')",3
880,"('sulphates', 'produced')",3
881,"('sulphates', 'types')",3
882,"('sulphates', 'transformed')",3
883,"('sulphates', 'cells')",3
884,"('produced', 'types')",3
885,"('produced', 'transformed')",3
886,"('produced', 'cells')",6
887,"('produced', 'underhill')",3
888,"('types', 'transformed')",3
889,"('types', 'cells')",8
890,"('types', 'underhill')",3
891,"('types', 'amp')",7
892,"('transformed', 'cells')",3
893,"('transformed', 'underhill')",3
894,"('transformed', 'keller')",3
895,"('cells', 'underhill')",3
896,"('cells', 'amp')",9
897,"('cells', 'keller')",3
898,"('cells', 'winterbourne')",3
899,"('underhill', 'amp')",6
900,"('underhill', 'keller')",3
901,"('underhill', 'winterbourne')",3
902,"('amp', 'keller')",9
903,"('amp', 'winterbourne')",3
904,"('amp', 'amp')",299
905,"('amp', 'mora')",6
906,"('keller', 'winterbourne')",3
907,"('keller', 'amp')",6
908,"('keller', 'mora')",3
909,"('keller', 'stamatoglou')",3
910,"('winterbourne', 'amp')",6
911,"('winterbourne', 'mora')",3
912,"('winterbourne', 'stamatoglou')",3
913,"('amp', 'stamatoglou')",3
914,"('mora', 'stamatoglou')",3
915,"('mora', 'amp')",5
916,"('mora', 'keller')",3
917,"('mora', 'david')",3
918,"('stamatoglou', 'amp')",6
919,"('stamatoglou', 'keller')",3
920,"('stamatoglou', 'david')",3
