,nouns,freq
613,incomes,3
614,migration,69
615,centuries,1
616,ownership,18
617,evolution,54
618,trade,28
619,turnover,22
620,crisis,23
621,alfaro,3
622,chen,59
623,behrens,6
624,access,32
625,import,5
626,markets,36
627,export,21
628,flow,106
629,profits,8
630,inputs,20
631,costs,35
632,brings,1
633,impact,111
634,margin,18
635,slump,2
636,demand,15
637,exports,4
638,exporters,11
639,contract,17
640,sales,22
641,malin,1
642,raise,6
643,points,68
644,fan,15
645,deposits,14
646,fans,1
647,catena,1
648,mass,151
649,mechanism,205
650,reasons,132
651,debris,6
652,flows,2
653,basins,8
654,shapes,3
655,odds,45
656,movers,2
657,return,29
658,amounts,63
659,treatments,72
660,clorgyline,1
661,serotonin,21
662,administration,89
663,xie,4
664,miller,32
665,investigate,3
666,potencies,2
667,monoamines,1
668,noradrenaline,9
669,farmers,7
670,utility,7
671,coefficient,31
672,preferences,26
673,losses,34
674,gains,31
675,aversion,6
676,coefficients,47
677,kahneman,3
678,probability,55
679,implies,25
680,ipt,1
681,equivalence,10
682,technique,56
683,transformation,17
684,note,115
685,caution,19
686,limits,23
687,generalizability,5
688,preference,64
689,scenarios,23
690,precision,12
691,surveys,14
692,doctors,2
693,population,447
694,limitation,16
695,survey,66
696,methodology,13
697,way,54
698,scenario,40
699,rates,504
700,positivity,36
701,surgery,70
702,tumours,38
703,cancers,83
704,respond,16
705,endocrine,5
706,therapy,89
707,information,192
708,receptor,83
709,hrql,1
710,resection,35
711,gastrectomy,2
712,aspects,30
713,symptoms,103
714,months,217
715,nausea,1
716,pain,98
717,diarrhoea,9
718,authors,297
719,assessment,33
720,outcomes,54
721,complexes,28
722,electrondense,2
723,axon,5
724,squid,4
725,loligo,2
726,pealii,2
727,hillman,2
728,llinhs,2
729,giant,2
730,synapse,2
731,nerves,9
732,fibers,46
733,variations,96
734,calcium,69
735,concentration,308
736,moreover,49
737,diminution,2
738,ions,34
739,atom,11
740,abstraction,1
741,factor,329
742,production,246
743,latencies,9
744,indefrey,3
745,levelt,3
746,sets,29
747,repetitions,3
748,picture,20
749,rts,5
750,processes,60
751,subjects,191
752,objects,10
753,exploration,21
754,passive,4
755,consequence,49
756,representation,23
757,condition,81
758,latency,22
759,harman,3
760,rotation,18
761,view,105
762,associations,104
763,sort,9
764,template,2
765,explanations,51
766,mistakes,4
767,coordination,16
768,failure,80
769,network,44
770,externalities,2
771,switch,7
772,coordinate,6
773,transition,99
774,histories,6
775,quantify,1
776,space,42
777,vilotte,1
778,wave,13
779,incidence,192
780,pic,10
781,poc,7
782,station,31
783,june,15
784,sea,63
785,head,42
786,table,88
787,cruise,4
788,biscay,5
789,july,9
790,der,33
791,wal,3
792,iceland,3
793,ferná,3
794,borne,3
795,sentences,5
796,kim,26
797,kuperberg,3
798,mclaughlin,2
799,bersick,5
800,review,55
801,see,66
802,exception,26
803,frisch,2
804,schlesewsky,1
805,ambiguity,2
806,arguments,12
807,interpretation,48
808,sentence,9
809,position,90
810,interest,49
811,modulations,2
812,paczynski,1
813,object,4
814,nouns,1
815,respects,10
816,conflicts,14
817,proposals,8
818,conception,17
819,catalyst,25
820,particle,48
821,type,314
822,nanotubes,9
823,tubes,21
824,gases,12
825,reaction,73
826,amount,103
827,decomposition,31
828,stimuli,64
829,durations,19
830,holyoak,1
831,manza,1
832,bornstein,2
833,newell,1
834,conjecture,16
835,material,78
836,saccadic,1
837,saccades,4
838,trial,78
839,sequence,69
840,guidance,3
841,selectivity,19
842,distribution,192
843,endpoints,2
844,search,16
845,performance,225
846,measures,65
847,distractor,1
848,treisman,1
849,argues,6
850,target,70
851,display,10
852,trials,80
853,prazosin,8
854,insomnia,4
855,inferences,3
856,comparisons,44
857,disturbance,17
858,ptsd,16
859,physiology,7
860,hypnotics,2
861,minute,2
862,hence,46
863,regime,39
864,ones,104
865,care,92
866,turner,9
867,wells,10
868,dielectric,4
869,measurement,32
870,mno,3
871,plot,16
872,fibre,13
873,fluid,29
874,accordance,42
875,predictions,91
876,poiseuille,2
877,particles,47
878,tas,4
879,attica,1
880,cholesterol,43
881,triglycerides,4
882,diabetics,2
883,nondiabetics,1
884,lipids,10
885,waist,9
886,circumference,6
887,blood,214
888,glucose,27
889,pressure,150
890,monitor,4
891,importance,102
892,behavior,93
893,compliance,20
894,recommendations,8
895,stage,142
896,regimen,41
897,delay,29
898,flights,1
899,orbits,3
900,stadium,1
901,billiards,1
902,region,253
903,site,174
904,exafs,1
905,bdim,3
906,extraction,30
907,efficiencies,8
908,fiber,19
909,option,15
910,water,245
911,pdms,3
912,adsorbent,3
913,property,17
914,modifies,5
915,compounds,48
916,ref,36
917,reason,168
918,approximation,18
919,muons,2
920,mixture,18
921,density,210
922,radius,14
923,mev,24
924,mode,41
925,subtilis,1
926,zone,34
927,plane,10
928,chromosome,75
929,jacob,1
930,dales,1
931,booster,1
932,woodrow,1
933,donohoe,1
934,zipursky,1
935,immunize,2
936,volunteers,13
937,injections,18
938,outlet,1
939,glaciers,9
940,west,4
941,ice,39
942,streams,25
943,stream,26
944,trough,2
945,basin,33
946,part,167
947,balance,30
948,incorporation,26
949,accumulation,79
950,ablation,9
951,reaches,3
952,caregivers,11
953,stress,210
954,caregiver,13
955,burden,19
956,component,61
957,scores,105
958,crrrr,2
959,bladder,14
960,seconds,6
961,internalization,5
962,breakdown,6
963,introduction,29
964,bulky,1
965,substituent,1
966,character,14
967,aggregation,33
968,solution,97
969,characteristics,105
970,pdt,3
971,observations,313
972,lipophilicity,3
973,causes,26
974,tendencies,5
975,bleiberg,1
976,polyps,9
977,crypt,4
978,proliferation,87
979,deshner,1
980,specimens,28
981,colitis,13
982,differentiation,69
983,extent,59
984,use,271
985,rise,29
986,icp,1
987,drowsy,1
988,occurs,20
989,load,30
990,elements,36
991,vector,8
992,parametrization,7
993,fig,94
994,conclusions,130
995,solutions,30
996,fermions,7
997,pseudoscalar,1
998,dimensions,24
999,eigenfunction,1
1000,operator,9
1001,expectations,51
1002,cake,5
1003,coalescence,15
1004,mounds,4
1005,reference,42
1006,means,20
1007,structures,72
1008,facet,2
1009,pits,1
1010,crystals,8
1011,cauliflower,1
1012,ammonia,11
1013,oxidation,50
1014,temperatures,97
1015,wheat,21
1016,genotypes,60
1017,blotch,1
1018,susceptibility,59
1019,programs,19
1020,cultivar,5
1021,tritici,1
1022,cultivars,13
1023,interaction,131
1024,carotene,5
1025,atoms,22
1026,release,64
1027,nitrogen,37
1028,agents,80
1029,light,38
1030,radiolysis,8
1031,follicles,6
1032,disparity,26
1033,thyroids,1
1034,corroborate,9
1035,vesicle,5
1036,sulfate,13
1037,works,50
1038,absorption,47
1039,decay,27
1040,pulse,3
1041,illumination,10
1042,signal,26
1043,tio,12
1044,indication,26
1045,electrons,13
1046,nanoparticles,28
1047,capecitabine,2
1048,infrequent,8
1049,grade,35
1050,patient,93
1051,hfs,3
1052,bevacizumab,9
1053,episodes,19
1054,cycles,31
1055,sequelae,3
1056,perforation,4
1057,describe,4
1058,scl,5
1059,physics,6
1060,hydrogel,1
1061,permeabilities,1
1062,purevision,1
1063,metabolism,41
1064,clothing,3
1065,insulation,3
1066,situations,14
1067,guidelines,22
1068,standards,9
1069,allows,7
1070,coal,6
1071,areas,130
1072,households,18
1073,fuels,5
1074,confidence,18
1075,interval,17
1076,estimate,105
1077,account,69
1078,uncertainties,7
1079,methodologies,3
1080,responses,197
1081,mental,1
1082,baroreceptor,2
1083,hypovolemia,4
1084,command,2
1085,plays,12
1086,neurotoxicity,7
1087,sayre,1
1088,ros,15
1089,larvae,16
1090,equilibrium,54
1091,room,22
1092,wang,57
1093,zhang,59
1094,consideration,20
1095,removal,30
1096,redox,7
1097,insoluble,5
1098,series,255
1099,form,79
1100,psa,13
1101,biopsies,13
1102,insignificant,1
1103,tumor,211
1104,margins,17
1105,recurrence,60
1106,involvement,53
1107,dimensionless,5
1108,asce,2
1109,heller,2
1110,wider,4
1111,fano,2
1112,kind,28
1113,suppression,34
1114,leads,6
1115,energies,20
1116,breakup,17
1117,kernels,3
1118,pursuit,2
1119,question,48
1120,formulation,7
1121,forms,44
1122,breakage,9
1123,contradictions,4
1124,superficial,1
1125,gas,52
1126,velocities,19
1127,holdups,1
1128,bsd,1
1129,bubbles,4
1130,loop,6
1131,nmp,1
1132,zeros,2
1133,worsen,1
1134,constraints,81
1135,poles,3
1136,stabilisation,1
1137,conclusion,136
1138,nair,2
1139,feedback,33
1140,relaxation,32
1141,expense,7
1142,robustness,5
1143,resource,33
1144,judiciary,1
1145,botero,4
1146,find,32
1147,policy,47
1148,courts,3
1149,district,1
1150,disposition,1
1151,address,6
1152,endogeneity,5
1153,metabolic,8
1154,modularity,6
1155,habitat,28
1156,adami,4
1157,kashtan,2
1158,alon,2
1159,lipson,2
1160,promote,10
1161,version,29
1162,networks,12
1163,flies,16
1164,duplication,9
1165,kawata,2
1166,transmission,56
1167,reproduction,28
1168,yang,44
1169,viruses,16
1170,contribution,106
1171,environments,53
1172,hfmd,1
1173,curvature,16
1174,slope,35
1175,error,52
1176,albert,1
1177,spectrum,40
1178,implications,25
1179,paper,154
1180,exploits,1
1181,msi,7
1182,prognosis,79
1183,benefit,35
1184,genotype,70
1185,instances,8
1186,reductions,34
1187,distance,87
1188,highway,3
1189,barrier,27
1190,wall,26
1191,tracer,3
1192,wind,39
1193,tunnel,1
1194,heist,1
1195,distributions,38
1196,directions,31
1197,speeds,19
1198,mean,80
1199,pollutants,7
1200,route,21
1201,section,55
1202,volume,102
1203,road,14
1204,sections,27
1205,roadside,2
1206,barriers,21
1207,air,47
1208,pollutant,2
1209,structure,159
1210,pollution,10
1211,drivers,14
1212,hagler,2
1213,concern,29
1214,phase,181
1215,proportions,34
1216,hypocalcemia,1
1217,week,40
1218,day,103
1219,vitamin,67
1220,secretion,60
1221,glands,6
1222,thyroidectomy,2
1223,supplementation,75
1224,cnd,1
1225,branching,7
1226,connections,7
1227,filaments,6
1228,gerdes,1
1229,thicker,9
1230,layers,67
1231,coatings,7
1232,flux,32
1233,end,24
1234,dip,7
1235,pes,1
1236,reactions,23
1237,dissociation,20
1238,phosphine,1
1239,complex,15
1240,halides,1
1241,manner,32
1242,densities,46
1243,magnitude,96
1244,bacteria,40
1245,possess,8
1246,envelope,4
1247,carboxyl,2
1248,amine,3
1249,hydroxyl,3
1250,fungus,2
1251,polysaccharides,1
1252,components,67
1253,synechocystis,1
1254,pcc,1
1255,tan,15
1256,methyl,4
1257,chain,44
1258,hydrocarbon,1
1259,biosynthesis,10
1260,china,48
1261,aerosols,3
1262,lmw,1
1263,acids,50
1264,summer,67
1265,visuomotor,4
1266,skills,30
1267,brass,1
1268,allow,2
1269,draw,2
1270,cons,1
1271,imitation,3
1272,intercalation,17
1273,surfactant,7
1274,interlayer,3
1275,clay,9
1276,minerals,8
1277,vazquez,3
1278,induces,33
1279,ala,6
1280,inter,7
1281,nerve,44
1282,endings,2
1283,fractions,28
1284,distinctions,3
1285,subfractions,1
1286,chemistry,9
1287,intake,97
1288,sauer,4
1289,haider,4
1290,sakaguchi,2
1291,hamaguchi,2
1292,life,103
1293,johnston,6
1294,shearer,3
1295,hardy,5
1296,alp,7
1297,rainbow,5
1298,trout,2
1299,phosphorus,13
1300,deficient,6
1301,diets,22
1302,bream,2
1303,nutrition,15
1304,assess,10
1305,ranges,19
1306,frequency,316
1307,neglect,7
1308,rbd,1
1309,hillis,1
1310,therefore,35
1311,altitude,6
1312,easter,1
1313,island,26
1314,treeline,3
1315,flenley,3
1316,pleistocene,13
1317,involves,6
1318,lapse,3
1319,disagreement,33
1320,lgm,1
1321,azizi,1
1322,glaciation,4
1323,contradiction,61
1324,rano,4
1325,aroi,2
1326,forests,45
1327,diagrams,4
1328,lacustrine,1
1329,sequences,53
1330,raraku,1
1331,terms,111
1332,substrate,31
1333,del,18
1334,spl,2
1335,field,154
1336,spline,2
1337,frequencies,90
1338,classes,29
1339,ols,2
1340,retention,40
1341,wetland,14
1342,year,147
1343,bachand,2
1344,horne,2
1345,temperate,17
1346,zones,31
1347,warmer,8
1348,metaanalysis,8
1349,rey,2
1350,benayas,2
1351,restoration,4
1352,efforts,16
1353,diversity,156
1354,abundance,108
1355,biomass,67
1356,relative,3
1357,systems,146
1358,cover,41
1359,beetle,8
1360,assemblages,23
1361,forest,10
1362,generates,4
1363,abundances,16
1364,gerisch,1
1365,mouillot,1
1366,fdis,1
1367,dung,8
1368,morgan,5
1369,hep,1
1370,glucocorticoids,9
1371,glutamine,12
1372,synthetase,1
1373,talc,1
1374,barro,3
1375,alto,1
1376,soil,157
1377,heaviest,1
1378,alloy,12
1379,gao,14
1380,edges,6
1381,mill,3
1382,beam,6
1383,roughness,18
1384,crater,6
1385,corrosion,9
1386,orders,33
1387,luminosity,3
1388,llagn,1
1389,opinion,17
1390,agn,1
1391,accelerate,1
1392,domain,47
1393,zaw,1
1394,deflection,3
1395,trajectories,3
1396,fields,36
1397,direction,91
1398,earth,20
1399,mediates,7
1400,lpa,10
1401,platelet,7
1402,agp,1
1403,blebbing,2
1404,assays,16
1405,potent,10
1406,mapk,7
1407,clarification,1
1408,hooks,2
1409,proteins,108
1410,downstream,29
1411,devices,23
1412,power,125
1413,law,8
1414,exponent,6
1415,films,46
1416,morphology,37
1417,sno,7
1418,nanowires,5
1419,procedure,55
1420,yamazoe,1
1421,parameter,41
1422,apoptosis,101
1423,show,210
1424,receptors,63
1425,colon,18
1426,nonhistone,2
1427,cycle,60
1428,contaminate,1
1429,histones,2
1430,chromatography,5
1431,precipitation,53
1432,electrophoresis,2
1433,hela,9
1434,returns,47
1435,fall,20
1436,community,86
1437,colleges,3
1438,press,25
1439,attendance,9
1440,cellini,5
1441,suggesting,2
1442,student,16
1443,point,111
1444,post,18
1445,anycollege,1
1446,forprofit,1
1447,students,92
1448,college,18
1449,bachelor,3
1450,sectors,12
1451,membranes,34
1452,esters,1
1453,ratios,65
1454,microvilli,1
1455,convergence,12
1456,laser,10
1457,adatoms,5
1458,diffusion,44
1459,pulses,9
1460,repetition,14
1461,surfaces,41
1462,holes,12
1463,pinholes,6
1464,defects,30
1465,deposition,39
1466,diffuse,17
1467,refs,5
1468,wage,32
1469,employment,24
1470,grosfeld,1
1471,nivet,1
1472,basu,1
1473,options,6
1474,wages,16
1475,pgs,1
1476,elongate,1
1477,gag,4
1478,chains,20
1479,cultures,24
1480,gels,11
1481,collagen,18
1482,interactions,101
1483,simulation,32
1484,errors,42
1485,lips,6
1486,marchetti,1
1487,contradicts,74
1488,anisotropy,27
1489,monolayer,11
1490,powder,8
1491,aluminium,2
1492,pack,5
1493,erosion,15
1494,behaviour,65
1495,thickness,36
1496,angle,23
1497,superiority,7
1498,impacts,24
1499,mackay,2
1500,shafizadeh,1
1501,chin,1
1502,lignin,4
1503,contributor,26
1504,char,3
1505,chars,1
1506,fraction,67
1507,indicator,20
1508,tests,52
1509,fallers,2
1510,nonfallers,1
1511,hgs,1
1512,identify,24
1513,duration,144
1514,plots,17
1515,gls,2
1516,plants,119
1517,ages,46
1518,chillet,2
1519,infestation,3
1520,bananas,1
1521,plantains,1
1522,leaf,19
1523,streak,1
1524,cohan,1
1525,stresses,5
1526,fruit,23
1527,dissimilarities,3
1528,shes,3
1529,homologs,6
1530,gold,18
1531,ads,8
1532,homolog,11
1533,thallium,2
1534,nihonium,2
1535,winter,52
1536,kemp,4
1537,recruitment,23
1538,plymouth,1
1539,fishery,2
1540,decline,75
1541,creation,15
1542,alley,1
1543,gow,1
1544,densification,2
1545,seasonality,8
1546,impurities,10
1547,firn,7
1548,freitag,4
1549,gerland,4
1550,marine,17
1551,sediments,44
1552,glacials,2
1553,expansion,39
1554,continental,4
1555,dust,20
1556,aridity,4
1557,efficient,9
1558,mcgee,2
1559,yung,2
1560,speed,71
1561,pliocene,8
1562,modeling,8
1563,winds,9
1564,rwpmpo,2
1565,circulation,40
1566,assignments,7
1567,notation,5
1568,molecules,46
1569,pdfb,4
1570,wavenumbers,7
1571,calculation,39
1572,geometry,16
1573,fragment,6
1574,photon,4
1575,kaposi,1
1576,obtains,2
1577,thresholds,9
1578,quantities,17
1579,threshold,25
1580,telephone,4
1581,degradation,29
1582,issues,20
1583,drugs,44
1584,family,100
1585,members,35
1586,agression,1
1587,consumption,120
1588,victims,7
1589,veracity,1
1590,testimony,1
1591,progression,81
1592,death,88
1593,maintenance,28
1594,detection,89
1595,antigen,26
1596,news,9
1597,entertainment,2
1598,internet,5
1599,flanagin,1
1600,metzger,2
1601,media,41
1602,assessments,14
1603,products,72
1604,accuracy,59
1605,inaccurate,2
1606,bandura,2
1607,experience,64
1608,opinions,9
1609,consensus,20
1610,sarcopenia,2
1611,world,30
1612,organization,15
1613,considers,4
1614,complications,85
1615,salvage,6
1616,stenosis,8
1617,completion,8
1618,aspiration,1
1619,fistula,6
1620,radiotherapy,24
1621,tissues,86
1622,comorbidity,11
1623,disorders,62
1624,psychopathology,8
1625,disorder,31
1626,analyses,108
1627,manifestation,5
1628,keel,1
1629,klump,1
1630,mcgue,2
1631,premium,12
1632,earnout,3
1633,comparable,4
1634,considerations,8
1635,insist,1
1636,payment,7
1637,deal,14
1638,kohers,2
1639,owners,6
1640,receive,2
1641,page,8
1642,average,40
1643,month,31
1644,periods,62
1645,cain,2
1646,sudarsanam,2
1647,methane,9
1648,mixtures,7
1649,microwire,15
1650,crabs,8
1651,lobsters,2
1652,mercer,2
1653,tag,9
1654,portunus,2
1655,trituberculatus,2
1656,okamoto,2
1657,blue,2
1658,fitz,2
1659,wiegert,2
1660,van,91
1661,mortality,139
1662,grimsen,12
1663,montfrans,7
1664,elastomer,12
1665,eovift,6
1666,bailey,6
1667,malone,13
1668,davis,22
1669,russell,10
1670,hales,6
1671,huggler,6
1672,tags,2
1673,step,35
1674,molt,2
1675,rule,31
1676,authority,3
1677,reacts,1
1678,asset,9
1679,prices,37
1680,welfare,22
1681,inflation,30
1682,volatility,16
1683,price,86
1684,gertler,2
1685,bank,13
1686,rules,13
1687,fundamentals,1
1688,capital,16
1689,tobin,1
1690,bernanke,3
1691,guo,14
1692,jeffers,1
1693,overestimates,2
1694,limit,55
1695,state,169
1696,evaluation,51
1697,consistency,15
1698,possibility,108
1699,ability,94
1700,splice,2
1701,variants,36
1702,chemosensitization,1
1703,agent,23
1704,schedule,14
1705,depletion,72
1706,contention,5
1707,capture,9
1708,fish,11
1709,resting,1
1710,hatchery,7
1711,girard,1
1712,baseline,42
1713,prthsi,1
