,nouns,freq
189,juvenile,7
190,hoazin,5
191,müllner,5
192,linsenmair,5
193,detections,5
194,environment,152
195,palacios,7
196,note,67
197,tourism,3
198,conservation,62
199,creation,5
200,maintenance,74
201,conservancies,1
202,morrison,4
203,castley,1
204,tablado,1
205,amico,1
206,attitudes,19
207,intentions,2
208,people,158
209,sakat,1
210,elliot,1
211,press,6
212,results,575
213,growth,221
214,rates,419
215,compensate,19
216,declines,19
217,risk,711
218,extinction,17
219,lists,1
220,kerley,1
221,level,235
222,actions,17
223,lair,1
224,distance,111
225,noise,9
226,sightings,1
227,mothers,21
228,danger,3
229,findings,294
230,consequences,157
231,decrease,124
232,importance,119
233,consideration,14
234,management,117
235,restoration,28
236,reintroduction,3
237,programs,113
238,area,255
239,dispersal,164
240,dynamics,131
241,gene,474
242,implications,46
243,diversification,20
244,animals,125
245,ranges,23
246,benton,3
247,clobert,39
248,dhondt,3
249,nichols,16
250,morales,14
251,movements,47
252,taxa,76
253,invertebrates,11
254,reptiles,24
255,birds,116
256,mammals,76
257,greenwood,14
258,trochet,17
259,causes,48
260,instance,101
261,disperse,7
262,farther,3
263,males,108
264,clarke,18
265,sæther,7
266,røskaft,3
267,mabry,11
268,shelley,3
269,davis,46
270,blumstein,14
271,vuren,3
272,breeding,74
273,individuals,492
274,site,181
275,mechanisms,225
276,sex,177
277,types,144
278,factors,467
279,effects,615
280,influence,116
281,adult,136
282,fichtel,1
283,kappeler,1
284,asr,8
285,analyses,196
286,complexity,55
287,butterflies,11
288,aggression,72
289,populations,489
290,proportion,76
291,gender,48
292,chances,16
293,relatives,15
294,costs,112
295,casas,2
296,homozygosity,4
297,loss,245
298,depression,179
299,investigations,55
300,avoidance,22
301,direction,82
302,guillaume,12
303,perrin,31
304,aim,17
305,fill,4
306,gap,17
307,intensity,73
308,selection,300
309,metrics,60
310,mating,21
311,system,321
312,frequency,240
313,paternity,8
314,plumage,9
315,coloration,8
316,amount,61
317,differences,347
318,care,147
319,census,4
320,publications,21
321,journals,8
322,books,1
323,references,7
324,reviews,35
325,details,62
326,appendices,1
327,movement,83
328,reproduction,46
329,sites,157
330,information,392
331,datasets,32
332,correlation,154
333,coefficients,16
334,order,178
335,item,67
336,minus,1
337,scores,88
338,polygamy,9
339,corresponds,5
340,variance,59
341,male,49
342,freckleton,6
343,remeš,1
344,value,196
345,broods,2
346,testes,3
347,mass,113
348,testis,6
349,log,35
350,exponent,3
351,range,227
352,bird,32
353,ssd,2
354,dichromatism,2
355,owens,2
356,rules,12
357,body,165
358,regions,374
359,nape,2
360,rump,2
361,throat,4
362,chest,4
363,wings,5
364,head,64
365,sexes,8
366,liker,5
367,percentage,78
368,incubation,15
369,descriptions,6
370,source,77
371,components,138
372,sets,34
373,estimation,35
374,komdeur,1
375,confounding,3
376,purpose,10
377,capture,81
378,driver,26
379,relationships,125
380,functions,143
381,difference,102
382,zero,2
383,lindenfors,2
384,implementation,30
385,test,146
386,package,53
387,phytools,4
388,pgls,6
389,predictors,35
390,harvey,3
391,pagel,9
392,hansen,8
393,approach,286
394,nonindependence,5
395,matrix,40
396,signal,45
397,sign,9
398,measure,126
399,strength,54
400,trait,29
401,edges,15
402,purvis,1
403,tree,62
404,simulations,35
405,tips,1
406,threshold,48
407,model,515
408,phylogeny,13
409,process,185
410,prevalence,140
411,random,24
412,trees,145
413,jetz,2
414,thomas,26
415,joy,2
416,hartmann,2
417,mooers,2
418,strimmer,6
419,slopes,10
420,root,64
421,parameter,35
422,msubsup,27
423,runs,3
424,biases,2
425,implies,21
426,function,404
427,home,22
428,activity,475
429,resources,86
430,scales,93
431,opportunities,42
432,explanation,37
433,mates,15
434,members,64
435,reduces,29
436,opportunity,32
437,become,9
438,patterns,233
439,shorebirds,3
440,scenario,23
441,snowy,4
442,plovers,4
443,nivosus,4
444,küpper,4
445,lessells,4
446,distances,27
447,attempts,41
448,stenzel,1
449,sandpiper,2
450,calidris,2
451,melanotos,2
452,season,30
453,sample,135
454,kempenaers,2
455,holmes,11
456,pitelka,1
457,polygyny,4
458,link,48
459,result,154
460,hypothesis,162
461,arnqvist,9
462,bangham,8
463,galliard,4
464,fitze,3
465,ferrière,3
466,butterfly,3
467,outcome,128
468,conflict,8
469,tactics,6
470,adaptations,34
471,term,48
472,coercion,2
473,key,4
474,forces,33
475,choice,68
476,mate,23
477,exist,1
478,set,11
479,waterbirds,1
480,choudhury,1
481,mckinney,1
482,passerines,1
483,induces,41
484,varies,39
485,response,572
486,temporal,1
487,guillon,1
488,bottein,1
489,bonte,5
490,production,300
491,offspring,17
492,magnitude,61
493,association,285
494,ratio,106
495,absence,75
496,latter,25
497,tetrapods,1
498,material,48
499,pipoly,1
500,lizards,61
501,vivipara,1
502,emigration,11
503,contrast,146
504,expectation,14
505,ratios,55
506,metapopulations,4
507,manipulations,6
508,search,43
509,harassment,1
510,partner,10
511,size,330
512,dimorphism,13
513,discrepancy,19
514,vertebrates,28
515,way,82
516,coverage,14
517,amphibians,8
518,genus,33
519,region,205
520,america,6
521,gepts,3
522,coccineus,5
523,lunatus,5
524,acutifolius,2
525,bean,5
526,polyanthus,1
527,greenm,1
528,scenarios,29
529,change,265
530,temperature,165
531,disease,722
532,incidence,65
533,porch,20
534,crops,7
535,resource,60
536,improvement,72
537,food,226
538,security,17
539,face,41
540,debouck,7
541,variation,248
542,madriñán,11
543,diversity,128
544,phaseolus,7
545,strategies,180
546,bellon,4
547,khoury,6
548,jarvis,5
549,guarino,5
550,spataro,1
551,germplasm,27
552,banks,15
553,seeds,24
554,livestock,33
555,agriculture,14
556,forestry,1
557,climate,101
558,urbanization,8
559,kell,1
560,breeders,7
561,access,39
562,genotypes,36
563,generation,126
564,cultivars,13
565,demand,53
566,conditions,401
567,parents,78
568,represent,16
569,brozynska,1
570,furtado,1
571,henry,6
572,differentiate,12
573,adaptation,78
574,characterization,26
575,niches,10
576,adaptability,8
577,degree,38
578,tolerance,36
579,dulloo,8
580,pliscoff,11
581,marske,13
582,normand,18
583,wang,77
584,descriptors,23
585,standardization,23
586,map,20
587,layer,99
588,construction,30
589,systems,312
590,gis,6
591,classification,74
592,aids,15
593,development,436
594,strategy,87
595,collections,24
596,efforts,32
597,focus,58
598,exploration,16
599,probabilities,15
600,prediction,77
601,responses,303
602,elith,5
603,franklin,14
604,porfirio,9
605,field,149
606,maréchal,1
607,mascherpa,1
608,salcedo,1
609,accessions,12
610,subspecies,8
611,base,34
612,arcgis,1
613,software,60
614,esri,1
615,scheme,21
616,investigaciones,1
617,forestales,1
618,variants,171
619,colors,2
620,methodology,20
621,dots,3
622,backgrounds,13
623,correspond,3
624,group,297
625,subhumid,5
626,basemap,1
627,author,7
628,evapotranspiration,2
629,month,47
630,mean,37
631,aridity,22
632,comondú,1
633,baja,1
634,california,26
635,berg,6
636,córdoba,1
637,veracruz,1
638,vulgaris,1
639,filiformis,1
640,micranthus,1
641,macvaughii,2
642,leptostachyus,1
643,xolocotzii,1
644,work,239
645,albescens,1
646,parvifolius,1
647,subsp,3
648,zimapanensis,1
649,tuerckheimii,1
650,pedicellatus,3
651,novoleonensis,1
652,maculatifolius,1
653,rotundatus,1
654,nodosus,1
655,reports,73
656,microcarpus,1
657,contradicts,3
658,dna,163
659,sequences,121
660,characteristics,148
661,priority,7
662,rodriguez,9
663,shi,4
664,lai,9
665,singh,21
666,dutta,4
667,reinforce,4
668,knowledge,108
669,genetics,45
670,domestication,28
671,target,130
672,loci,60
673,traits,171
674,expansion,62
675,zoro,6
676,variability,197
677,richness,10
678,heterozygosity,10
679,flow,177
680,valley,6
681,costa,22
682,rica,15
683,authors,117
684,protection,22
685,preserve,1
686,alleles,81
687,barrantes,1
688,baudoin,11
689,rocha,12
690,esperanzae,3
691,type,190
692,ciudad,3
693,victoria,3
694,maculatus,7
695,tepatlaxco,3
696,hidalgo,3
697,highlands,8
698,temperate,11
699,xanthotrichus,3
700,teopisca,3
701,chiapas,3
702,samples,177
703,provide,16
704,future,76
705,lobo,3
706,russell,3
707,beans,5
708,years,436
709,dormancy,8
710,seed,57
711,coat,3
712,hardness,4
713,state,225
714,durango,1
715,plateau,11
716,temperatures,69
717,precipitation,49
718,periods,62
719,summer,8
720,trejo,1
721,elevation,72
722,distribution,258
723,elevations,46
724,gladiolatus,2
725,palmeri,2
726,obstacles,7
727,hill,10
728,griffiths,12
729,year,100
730,necessity,8
731,capacity,72
732,pest,2
733,resistance,140
734,pressure,137
735,miklas,7
736,blair,19
737,drought,11
738,beebe,6
739,rao,5
740,cortés,17
741,identification,81
742,landrace,13
743,monserrate,7
744,water,139
745,anatomy,4
746,reductions,49
747,cells,1931
748,division,12
749,tissue,260
750,dehydration,3
751,saline,5
752,environments,149
753,lynch,8
754,turley,3
755,richman,3
756,cuatro,4
757,ciénegas,4
758,coahuila,4
759,purpusii,4
760,charcas,4
761,potosí,4
762,regard,45
763,genes,343
764,groups,307
765,complement,13
766,phenotypic,63
767,genotypic,2
768,morphologic,2
769,distinctness,1
770,goal,62
771,gain,69
772,decision,21
773,use,467
774,iriondo,1
775,tohme,1
776,iglesias,1
777,degreef,5
778,vanderborght,5
779,castro,23
780,macaya,5
781,maquet,5
782,idamvi,5
783,zea,5
784,mays,5
785,bicolor,5
786,nkongolo,5
787,theobroma,5
788,cacao,5
789,crataegus,5
790,spp,10
791,plant,250
792,piñero,1
793,tools,73
794,genomics,20
795,crop,53
796,barriers,51
797,ron,9
798,estrada,5
799,guillén,5
800,alvarado,5
801,kole,1
802,methodologies,21
803,savings,9
804,cost,82
805,song,68
806,thormann,5
807,von,86
808,wettberg,5
809,marques,11
810,murren,6
811,government,14
812,representation,27
813,conduct,10
814,monitoring,31
815,advantages,33
816,offers,18
817,threats,8
818,contamination,9
819,mining,9
820,concern,48
821,community,76
822,impacts,48
823,redden,5
824,yadav,5
825,furthermore,61
826,emphasis,7
827,destruction,14
828,responsibility,9
829,ethnicities,2
830,boege,2
831,legitimize,2
832,strengthen,2
833,property,32
834,maffi,2
835,airway,30
836,view,32
837,severity,97
838,complications,27
839,sore,2
840,injury,247
841,laryngeal,2
842,epithelium,14
843,cords,2
844,endotracheal,2
845,tubes,2
846,diameter,24
847,patent,3
848,exhalation,5
849,gas,31
850,lead,47
851,instability,23
852,rescue,2
853,ventilation,19
854,transtracheal,1
855,catheters,4
856,situations,39
857,establishes,4
858,inspiration,17
859,expiration,1
860,jet,1
861,normoventilation,1
862,expiratory,3
863,assistance,11
864,eva,3
865,feature,64
866,obstruction,14
867,oxygenation,3
868,ventrain,1
869,experiments,127
870,facilities,8
871,university,54
872,centre,1
873,relevant,4
874,aspects,88
875,guidelines,132
876,differs,24
877,approaches,126
878,volume,167
879,whereas,51
880,minute,2
881,volumes,57
882,sbvc,1
883,hypoventilation,1
884,hyperventilation,1
885,pigs,4
886,century,5
887,landscape,55
888,drivers,45
889,mosaics,2
890,understand,23
891,perform,31
892,services,41
893,pollinators,27
894,world,57
895,flowering,12
896,plants,132
897,move,16
898,waller,4
899,bees,36
900,providers,14
901,pollination,43
902,persistence,40
903,winfree,8
904,intensification,11
905,erenler,4
906,edwards,56
907,potts,6
908,bee,29
909,communities,70
910,kremen,6
911,williams,59
912,roulston,2
913,farris,1
914,pollinator,3
915,vázquez,2
916,lebuhn,2
917,fields,53
918,service,27
919,bebber,2
920,choy,2
921,shortage,2
922,quality,189
923,yield,27
924,kevan,1
925,phillips,8
926,suggest,1
927,decline,66
928,hallmann,3
929,deficits,80
930,demands,29
931,lautenbach,5
932,dormann,5
933,pirk,5
934,carvalheiro,5
935,gallai,5
936,salles,5
937,vaissière,5
938,lack,136
939,infrastructure,9
940,countries,134
941,disruption,57
942,provision,20
943,cause,138
944,meaning,6
945,incidents,5
946,human,14
947,germany,13
948,continent,8
949,bartomeus,5
950,cariveau,5
951,highlights,22
952,landscapes,38
953,examples,71
954,coffee,6
955,klein,45
956,marco,6
957,coelho,12
958,tanzania,6
959,classen,9
960,bumblebees,1
961,burkina,2
962,cotton,10
963,gossypium,2
964,hirsutum,2
965,export,2
966,product,59
967,thiombiano,2
968,kampmann,2
969,sesame,9
970,rank,5
971,ten,8
972,commodities,2
973,quantities,14
974,country,32
975,fao,4
976,vulnerability,27
977,seasons,7
978,rainy,2
979,november,2
980,transition,48
981,rainfall,15
982,averages,10
983,barnes,34
984,spreads,4
985,hema,1
986,pristine,1
987,savanna,3
988,macroptera,1
989,guill,2
990,detarium,1
991,microcarpum,1
992,reserve,19
993,villages,2
994,amounts,18
995,dimobe,1
996,bootstrap,5
997,estimator,14
998,smith,78
999,van,285
1000,belle,1
1001,pielou,1
1002,honeybee,1
1003,mellifera,8
1004,tropics,2
1005,colonies,52
1006,medium,21
1007,land,16
1008,activities,135
1009,diet,37
1010,ability,219
1011,patches,46
1012,muenzenberg,2
1013,buerger,2
1014,thies,3
1015,sdeolc,2
1016,observation,49
1017,combination,127
1018,fragments,16
1019,gardens,4
1020,savannas,16
1021,evenness,2
1022,attractiveness,2
1023,mangifera,4
1024,indica,4
1025,orchards,4
1026,thailand,9
1027,farm,4
1028,warrit,4
1029,gale,1
1030,structure,223
1031,vice,17
1032,versa,17
1033,ricketts,5
1034,blitzer,1
1035,noncrop,1
1036,terms,111
1037,quantity,11
1038,exclusion,24
1039,hagen,6
1040,kraemer,4
1041,times,113
1042,transient,17
1043,receptor,174
1044,trp,7
1045,channels,107
1046,thermosensation,2
1047,chemosensation,2
1048,subfamilies,3
1049,sequence,164
1050,homology,13
1051,trpv,3
1052,vanilloid,3
1053,trpm,3
1054,melastatin,3
1055,trpa,5
1056,ankyrin,3
1057,trpp,3
1058,polycystin,3
1059,trpml,3
1060,mucolipin,3
1061,cation,25
1062,channel,138
1063,regulator,16
1064,variety,125
1065,cytokine,19
1066,insulin,48
1067,release,113
1068,motility,15
1069,death,148
1070,subtype,12
1071,oxygen,75
1072,hydrogen,48
1073,peroxide,21
1074,chanzyme,5
1075,hydrolase,10
1076,domain,81
1077,pyrophosphatase,5
1078,serves,20
1079,activation,384
1080,shows,37
1081,processes,152
1082,neurodegeneration,14
1083,reperfusion,32
1084,inhibiting,8
1085,ischemicinjury,8
1086,molecules,104
1087,figure,308
1088,acid,121
1089,ffa,7
1090,aminobenzoic,5
1091,borate,8
1092,show,101
1093,specificity,53
1094,analogues,21
1095,monophosphate,3
1096,inhibitors,80
1097,series,49
1098,adpr,12
1099,position,60
1100,purine,2
1101,inhibitor,45
1102,methylenebisphosphonate,1
1103,linkage,16
1104,cadpr,3
1105,modifications,22
1106,moiety,4
1107,contributes,18
1108,adenosine,12
1109,procedures,83
1110,compound,14
1111,mmol,6
1112,tris,1
1113,methylenediphosphonate,1
1114,room,9
1115,tetracycline,5
1116,gibco,2
1117,bovine,10
1118,serum,51
1119,fbs,4
1120,penicillin,5
1121,streptomycin,2
1122,reference,97
1123,vector,50
1124,recordings,8
1125,blot,6
1126,transfection,12
1127,pbs,1
1128,lysis,16
1129,buffer,18
1130,ripa,2
1131,beyotime,1
1132,biotechnology,2
1133,china,6
1134,protocol,29
1135,solution,60
1136,ecs,1
1137,kcl,7
1138,mgcl,4
1139,cacl,1
1140,hepes,1
1141,electrodes,8
1142,ics,1
1143,egta,1
1144,reagent,5
1145,tosyl,1
1146,chloride,9
1147,moreau,3
1148,report,75
1149,catalyst,8
1150,routes,7
1151,synthesis,81
1152,tail,4
1153,administration,84
1154,currents,26
1155,reserves,10
1156,sulphonamide,1
1157,squarate,1
1158,triazole,1
1159,terminal,3
1160,hydroxyl,2
1161,plays,32
1162,compounds,26
1163,products,100
1164,naadp,1
1165,selectivity,11
1166,intermediates,2
1167,esterification,1
1168,deprotection,1
1169,steps,26
1170,characters,20
1171,nature,97
1172,gates,1
1173,ion,68
1174,inhibit,37
1175,fischer,6
1176,substrate,95
1177,diphosphate,3
1178,adp,6
1179,ribose,4
1180,determines,6
1181,kinds,21
1182,rings,9
1183,applications,49
1184,metabolites,16
1185,introduction,36
1186,desi,34
1187,detection,78
1188,biomolecules,11
1189,droplets,13
1190,liquid,39
1191,proteins,310
1192,surfaces,37
1193,solutions,38
1194,interactions,249
1195,progress,51
1196,nms,6
1197,membrane,119
1198,complexes,119
1199,throughput,25
1200,technologies,37
1201,membranes,38
1202,arrangements,5
1203,vicinity,7
1204,protein,353
1205,design,109
1206,device,17
1207,stage,81
1208,length,59
1209,transfer,60
1210,tube,3
1211,lysozyme,1
1212,nanoflow,1
1213,capillaries,1
1214,desorption,10
1215,spray,5
1216,peaks,13
1217,turnover,25
1218,precludes,3
1219,binding,67
1220,place,43
1221,ammonium,3
1222,acetate,1
1223,glucoside,1
1224,micelles,3
1225,plume,2
1226,deterioration,8
1227,dilution,6
1228,surface,94
1229,micelle,2
1230,concentration,103
1231,cmc,2
1232,recovery,60
1233,ompf,3
1234,mins,2
1235,detergent,10
1236,lauryldimethylamine,1
1237,ldao,1
1238,charge,7
1239,states,111
1240,exchange,40
1241,transporter,25
1242,semisweet,3
1243,vibrio,2
1244,splendidus,2
1245,exists,8
1246,form,81
1247,ddm,2
1248,fpva,2
1249,pseudomonas,1
1250,aeruginosa,1
1251,outer,13
1252,pvd,1
1253,ionization,4
1254,methods,358
1255,nanoes,3
1256,platform,17
1257,bind,3
1258,pores,7
1259,constants,4
1260,concentrations,143
1261,phosphatidylglycerol,1
1262,popg,1
1263,lipids,12
1264,antibiotics,59
1265,pore,6
1266,vestibule,1
1267,reveals,17
1268,molecule,44
1269,trimer,1
1270,class,84
1271,couple,7
1272,gpcrs,1
1273,nmoles,1
1274,platelet,7
1275,aggregation,16
1276,therapy,296
1277,spectrum,35
1278,cocktail,1
1279,table,41
1280,chemicals,5
1281,reactions,33
1282,interaction,140
1283,deposition,27
1284,planar,5
1285,cleavage,7
1286,buffers,12
1287,phenotype,77
1288,cue,5
1289,plasticity,89
1290,hormone,30
1291,hormones,12
1292,glucocorticoids,12
1293,barbazanges,4
1294,moal,4
1295,maccari,4
1296,gluckman,4
1297,hanson,4
1298,spencer,5
1299,love,34
1300,mcgowan,5
1301,sheriff,76
1302,meaney,5
1303,szyf,4
1304,seckl,4
1305,phenotypes,77
1306,confer,31
1307,fitness,113
1308,researchers,67
1309,play,66
1310,roles,45
1311,prepare,12
1312,dantzer,20
1313,krebs,25
1314,boonstra,16
1315,richner,12
1316,chin,12
1317,bestion,15
1318,cote,12
1319,fraipont,16
1320,meylan,31
1321,giesing,12
1322,suski,17
1323,warner,15
1324,bell,52
1325,framework,97
1326,explains,14
1327,evolution,141
1328,leimar,6
1329,mcnamara,5
1330,uller,13
1331,nakagawa,3
1332,insights,35
1333,error,67
1334,theory,56
1335,haselton,17
1336,buss,18
1337,generating,4
1338,hypotheses,49
1339,pressures,28
1340,catalyze,3
1341,life,244
1342,histories,43
1343,ecology,11
1344,generates,19
1345,outcomes,186
1346,assumptions,23
1347,performance,330
1348,likewise,22
1349,benefits,78
1350,perspective,24
1351,manner,37
1352,points,80
1353,context,70
1354,generations,60
1355,cues,47
1356,likelihood,49
1357,match,21
1358,mismatch,16
1359,box,27
1360,matches,6
1361,origin,21
1362,bond,46
1363,mother,10
1364,comparison,69
1365,expand,2
1366,organisms,42
1367,humans,152
1368,decisions,33
1369,uncertainty,37
1370,johnson,49
1371,fowler,29
1372,swets,9
1373,examine,15
1374,phenomena,28
1375,defense,18
1376,deception,7
1377,communication,91
1378,wiley,7
1379,antipredator,7
1380,bouskila,7
1381,health,462
1382,emt,8
1383,applicability,12
1384,comprises,6
1385,organism,28
1386,respond,46
1387,probability,44
1388,ways,46
1389,errors,64
1390,idea,50
1391,maladaptive,5
1392,snowshoe,6
1393,cycle,56
1394,predator,37
1395,lynx,25
1396,phase,136
1397,hares,15
1398,exhibit,39
1399,lighter,4
1400,responsiveness,8
1401,stressor,11
1402,encounter,29
1403,end,38
1404,duration,118
1405,parental,3
1406,laboratory,28
1407,alter,10
1408,reverse,12
1409,neonate,1
1410,potential,37
1411,degrees,27
1412,primates,7
1413,extremes,3
1414,density,104
1415,gestation,8
1416,johnstone,13
1417,townley,3
1418,exposure,216
1419,stressors,39
1420,squirrels,11
1421,hudsonicus,7
1422,fluctuations,46
1423,conspecifics,15
1424,boutin,6
1425,humphries,7
1426,course,49
1427,purposes,16
1428,sensitivity,142
1429,bale,2
1430,epperson,2
1431,brunton,2
1432,disparity,17
1433,reliability,29
1434,preference,30
1435,induction,72
1436,stamps,2
1437,phenomenon,37
1438,emerge,2
1439,novel,7
1440,situation,53
1441,ehlman,3
1442,sih,15
1443,consider,18
1444,zootoca,3
1445,propensity,29
1446,circumstance,2
1447,stimulus,37
1448,traffic,5
1449,resultant,2
1450,threatening,1
1451,schuler,3
1452,orrock,6
1453,arthropods,5
1454,mousseau,5
1455,dingle,3
1456,well,13
1457,predictions,45
1458,diverse,7
1459,array,36
1460,agrawal,4
1461,crisp,3
1462,walter,8
1463,harter,3
1464,beierkuhnlein,3
1465,jentsch,3
1466,donohue,1
1467,signals,87
1468,hirec,1
1469,mismatches,1
1470,shifts,76
1471,teotónio,2
1472,chosen,4
1473,outline,3
1474,sources,54
1475,mechanism,165
1476,parent,20
1477,pass,9
1478,magurran,1
1479,vigilance,15
1480,groupmates,7
1481,ruxton,8
1482,share,36
1483,hake,2
1484,giraldeau,2
1485,beauchamp,2
1486,spend,4
1487,bryan,6
1488,hutchinson,11
1489,rogers,47
1490,jachmann,6
1491,berry,6
1492,macnair,6
1493,voipio,6
1494,fish,39
1495,jørgensen,7
1496,warburton,6
1497,melanotaenia,2
1498,duboulayi,2
1499,trawls,2
1500,shoal,6
1501,escapes,2
1502,affects,15
1503,gear,7
1504,items,41
1505,rosselló,5
1506,arlinghaus,5
1507,diaz,11
1508,pauli,9
1509,robinson,12
1510,gass,5
1511,godwin,6
1512,traps,22
1513,enter,22
1514,bolder,9
1515,bait,7
1516,hollins,10
1517,animal,59
1518,mmr,7
1519,muscle,62
1520,machinery,19
1521,rest,25
1522,auer,3
1523,rezende,3
1524,glazier,2
1525,gears,12
1526,exercise,62
1527,respirometry,4
1528,fishing,13
1529,clark,41
1530,messmer,4
1531,tobin,4
1532,hoey,4
1533,pratchett,4
1534,wiech,10
1535,heino,4
1536,point,144
1537,proximity,30
1538,variances,14
1539,explanatory,2
1540,fork,4
1541,smr,6
1542,entry,30
1543,conform,1
1544,homoscedasticity,1
1545,zuur,1
1546,ieno,1
1547,elphick,1
1548,proportions,53
1549,benefit,52
1550,living,18
1551,peuhkuri,3
1552,pritchard,18
1553,krause,11
1554,pitcher,6
1555,stoner,3
1556,ottmar,3
1557,behaviors,100
1558,expectations,25
1559,relation,61
1560,anything,3
1561,interest,164
1562,metabolism,61
1563,pathways,113
1564,phases,26
1565,foraging,7
1566,efficiency,56
1567,ward,19
1568,hart,2
1569,eyes,8
1570,discovery,14
1571,safety,33
1572,displaying,1
1573,reliance,7
1574,tendencies,9
1575,exploratory,4
1576,dyer,4
1577,croft,1
1578,morrell,3
1579,patch,27
1580,robakiewicz,1
1581,daigle,1
1582,pqafti,1
1583,saturation,6
1584,shoals,2
1585,limit,28
1586,neighbors,7
1587,levin,1
1588,rubenstein,1
1589,tendency,32
1590,dochtermann,4
1591,schwab,5
1592,butlin,16
1593,magnhagen,4
1594,sociability,13
1595,fisheries,9
1596,resolve,3
1597,issues,35
1598,locomotion,28
1599,couzin,6
1600,landeau,3
1601,terborgh,3
1602,migration,64
1603,luca,3
1604,mariani,3
1605,mackenzie,3
1606,marsili,3
1607,densities,33
1608,timid,1
1609,isolation,48
1610,cohesion,3
1611,boldness,1
1612,metcalfe,1
1613,links,34
1614,relate,4
1615,willingness,1
1616,killen,1
1617,labile,1
1618,marras,1
1619,mckenzie,1
1620,domenici,1
1621,alteration,18
1622,stages,71
1623,magnuson,3
1624,space,103
1625,fishers,3
1626,influences,43
1627,extent,53
1628,shift,91
1629,physiology,31
1630,biro,8
1631,sampson,11
1632,philipp,3
1633,answer,4
1634,succession,44
1635,questions,33
1636,bhaskar,5
1637,dawson,12
1638,balvanera,5
1639,cornwell,6
1640,shipley,12
1641,vile,5
1642,garnier,7
1643,whittaker,7
1644,colonization,38
1645,abilities,44
1646,marcante,6
1647,winkler,9
1648,erschbamer,11
1649,matthews,8
1650,proceeds,5
1651,soil,78
1652,nutrients,35
1653,levine,12
1654,coomes,20
1655,rees,11
1656,confers,9
1657,moles,6
1658,colonizers,7
1659,granath,6
1660,strengbom,6
1661,rydin,6
1662,lohbeck,6
1663,zhu,15
1664,facilitate,8
1665,photosynthesis,13
1666,proline,10
1667,content,65
1668,leaf,19
1669,germination,45
1670,reflect,8
1671,winter,25
1672,liu,113
1673,zhang,146
1674,nitrogen,29
1675,guarantee,3
1676,colonist,7
1677,cold,3
1678,measures,171
1679,stresses,5
1680,sack,5
1681,krasensky,3
1682,jonak,3
1683,indicator,49
1684,christopher,3
1685,july,2
1686,nutans,2
