,bigrams,freq
81,"('agreement', 'observations')",9
82,"('previous', 'observations')",62
83,"('previous', 'cells')",15
84,"('observations', 'cells')",9
85,"('observations', 'previously')",4
86,"('erythroid', 'cells')",6
87,"('cells', 'similarly')",5
88,"('cells', 'previously')",23
89,"('cells', 'reported')",54
90,"('cells', 'also')",40
91,"('similarly', 'reported')",6
92,"('similarly', 'also')",4
93,"('similarly', 'results')",5
94,"('previously', 'reported')",210
95,"('previously', 'also')",17
96,"('previously', 'results')",25
97,"('reported', 'also')",42
98,"('reported', 'results')",61
99,"('also', 'results')",43
100,"('results', 'complete')",3
101,"('formation', 'time')",4
102,"('formation', 'extensive')",3
103,"('formation', 'growth')",3
104,"('growth', 'culture')",3
105,"('prediction', 'found')",5
106,"('relapse', 'immunophenotype')",3
107,"('relapse', 'present')",5
108,"('independently', 'present')",4
109,"('found', 'present')",61
110,"('found', 'study')",142
111,"('present', 'study')",777
112,"('present', 'training')",4
113,"('study', 'training')",9
114,"('study', 'independent')",4
115,"('study', 'test')",6
116,"('training', 'test')",3
117,"('respectively', 'significantly')",6
118,"('respectively', 'higher')",26
119,"('respectively', 'obtained')",9
120,"('significantly', 'higher')",86
121,"('significantly', 'obtained')",20
122,"('significantly', 'samples')",6
123,"('significantly', 'data')",6
124,"('higher', 'obtained')",49
125,"('higher', 'samples')",9
126,"('higher', 'data')",25
127,"('obtained', 'data')",13
128,"('samples', 'data')",8
129,"('data', 'set')",36
130,"('accuracy', 'present')",4
131,"('obtained', 'present')",18
132,"('obtained', 'study')",41
133,"('obtained', 'slightly')",10
134,"('obtained', 'higher')",24
135,"('present', 'slightly')",17
136,"('present', 'higher')",31
137,"('study', 'slightly')",20
138,"('study', 'higher')",107
139,"('study', 'obtained')",17
140,"('slightly', 'higher')",107
141,"('slightly', 'obtained')",21
142,"('higher', 'accuracy')",4
143,"('higher', 'better')",5
144,"('accuracy', 'better')",8
145,"('accuracy', 'results')",4
146,"('obtained', 'results')",33
147,"('obtained', 'obtained')",18
148,"('better', 'results')",13
149,"('better', 'obtained')",4
150,"('better', 'study')",12
151,"('results', 'obtained')",182
152,"('results', 'study')",217
153,"('results', 'might')",26
154,"('results', 'partly')",8
155,"('obtained', 'due')",10
156,"('study', 'might')",26
157,"('study', 'partly')",4
158,"('study', 'due')",33
159,"('study', 'different')",55
160,"('might', 'partly')",9
161,"('might', 'due')",44
162,"('might', 'different')",36
163,"('partly', 'due')",16
164,"('partly', 'different')",7
165,"('due', 'different')",69
166,"('due', 'patients')",12
167,"('different', 'patients')",10
168,"('different', 'received')",5
169,"('different', 'two')",24
170,"('patients', 'received')",30
171,"('patients', 'two')",17
172,"('patients', 'studies')",30
173,"('received', 'two')",3
174,"('received', 'well')",3
175,"('two', 'studies')",93
176,"('two', 'well')",5
177,"('two', 'differences')",14
178,"('two', 'period')",5
179,"('studies', 'well')",11
180,"('studies', 'differences')",19
181,"('well', 'differences')",9
182,"('period', 'patients')",6
183,"('efs', 'patients')",6
184,"('patients', 'defined')",3
185,"('patients', 'period')",3
186,"('minimum', 'period')",13
187,"('period', 'years')",11
188,"('period', 'shorter')",4
189,"('efs', 'efs')",3
190,"('years', 'patients')",10
191,"('years', 'shorter')",3
192,"('years', 'period')",4
193,"('patients', 'included')",15
194,"('shorter', 'period')",4
195,"('period', 'study')",13
196,"('included', 'patients')",16
197,"('included', 'study')",10
198,"('patients', 'study')",96
199,"('patients', 'moreover')",7
200,"('patients', 'reported')",55
201,"('study', 'moreover')",4
202,"('study', 'reported')",184
203,"('moreover', 'reported')",7
204,"('reported', 'possible')",12
205,"('relapse', 'however')",3
206,"('across', 'however')",3
207,"('across', 'study')",3
208,"('subtypes', 'results')",3
209,"('subtypes', 'study')",9
210,"('however', 'results')",221
211,"('however', 'study')",225
212,"('however', 'indicated')",4
213,"('however', 'least')",9
214,"('results', 'indicated')",14
215,"('results', 'least')",14
216,"('results', 'good')",4
217,"('study', 'indicated')",15
218,"('study', 'least')",15
219,"('study', 'good')",4
220,"('study', 'classification')",3
221,"('least', 'could')",3
222,"('good', 'performance')",3
223,"('good', 'could')",4
224,"('good', 'obtained')",6
225,"('could', 'obtained')",11
226,"('could', 'relapse')",5
227,"('compared', 'patients')",16
228,"('relapse', 'patients')",12
229,"('relapse', 'data')",4
230,"('patients', 'data')",14
231,"('patients', 'shown')",9
232,"('patients', 'previously')",20
233,"('data', 'shown')",115
234,"('data', 'previously')",13
235,"('data', 'demonstrated')",4
236,"('shown', 'previously')",14
237,"('shown', 'demonstrated')",3
238,"('previously', 'demonstrated')",22
239,"('cortisol', 'response')",3
240,"('response', 'obese')",3
241,"('obese', 'women')",10
242,"('obese', 'found')",5
243,"('premenopausal', 'women')",3
244,"('women', 'found')",6
245,"('women', 'relationship')",4
246,"('women', 'postmenopausal')",3
247,"('women', 'women')",14
248,"('found', 'relationship')",17
249,"('found', 'postmenopausal')",3
250,"('found', 'women')",18
251,"('found', 'possible')",13
252,"('relationship', 'women')",3
253,"('relationship', 'possible')",3
254,"('postmenopausal', 'women')",12
255,"('hypothesis', 'evidence')",3
256,"('hypothesis', 'however')",4
257,"('supporting', 'evidence')",3
258,"('evidence', 'however')",11
259,"('failed', 'induced')",3
260,"('cultures', 'results')",4
261,"('contrary', 'positive')",3
262,"('contrary', 'results')",46
263,"('positive', 'results')",18
264,"('results', 'human')",12
265,"('results', 'cultures')",4
266,"('still', 'exists')",3
267,"('murine', 'macrophages')",3
268,"('one', 'could')",24
269,"('one', 'argue')",3
270,"('given', 'however')",5
271,"('however', 'contradicted')",5
272,"('however', 'findings')",57
273,"('however', 'carbon')",5
274,"('contradicted', 'findings')",8
275,"('findings', 'major')",8
276,"('component', 'contains')",3
277,"('contains', 'significant')",3
278,"('significant', 'amount')",7
279,"('significant', 'shown')",3
280,"('shown', 'especially')",3
281,"('shown', 'also')",12
282,"('also', 'abundant')",3
283,"('compound', 'contrast')",3
284,"('contrast', 'profiles')",6
285,"('kenepuru', 'sound')",3
286,"('decreased', 'increasing')",7
287,"('increasing', 'difference')",4
288,"('increasing', 'may')",5
289,"('difference', 'may')",47
290,"('difference', 'much')",9
291,"('may', 'reflect')",52
292,"('may', 'much')",5
293,"('much', 'closer')",3
294,"('river', 'site')",4
295,"('site', 'however')",4
296,"('however', 'others')",13
297,"('however', 'reported')",78
298,"('however', 'also')",44
299,"('others', 'reported')",19
300,"('others', 'also')",5
301,"('reported', 'tumor')",4
302,"('reported', 'cells')",29
303,"('also', 'tumor')",5
304,"('also', 'cells')",25
305,"('tumor', 'cells')",24
306,"('appears', 'cells')",3
307,"('functional', 'cells')",4
308,"('cells', 'induction')",13
309,"('cells', 'activity')",15
310,"('cells', 'following')",5
311,"('induction', 'activity')",6
312,"('induction', 'following')",11
313,"('induction', 'dna')",8
314,"('induction', 'damage')",7
315,"('activity', 'following')",3
316,"('activity', 'dna')",3
317,"('following', 'dna')",5
318,"('following', 'damage')",7
319,"('dna', 'damage')",22
320,"('observations', 'consistent')",14
321,"('observations', 'role')",4
322,"('consistent', 'role')",4
323,"('role', 'infection')",7
324,"('note', 'generally')",5
325,"('contradict', 'study')",8
326,"('city', 'study')",3
327,"('study', 'observed')",51
328,"('study', 'difference')",57
329,"('observed', 'difference')",15
330,"('observed', 'attributed')",5
331,"('difference', 'attributed')",10
332,"('reasons', 'unclear')",3
333,"('contradiction', 'measurements')",3
334,"('measurements', 'end')",6
335,"('allele', 'frequencies')",10
336,"('frequencies', 'within')",3
337,"('frequencies', 'patients')",3
338,"('within', 'patients')",3
339,"('obese', 'patients')",18
340,"('obese', 'controls')",4
341,"('patients', 'blood')",7
342,"('patients', 'donor')",3
343,"('patients', 'controls')",12
344,"('controls', 'contrast')",4
345,"('contrast', 'large')",9
346,"('contrast', 'frequency')",7
347,"('large', 'frequency')",6
348,"('frequency', 'allele')",14
349,"('frequency', 'obese')",4
350,"('frequency', 'patients')",6
351,"('allele', 'patients')",14
352,"('allele', 'blood')",3
353,"('patients', 'difference')",15
354,"('difference', 'frequency')",7
355,"('difference', 'obese')",6
356,"('difference', 'women')",4
357,"('obese', 'obese')",4
358,"('obese', 'men')",9
359,"('obese', 'control')",3
360,"('women', 'obese')",3
361,"('women', 'men')",29
362,"('women', 'control')",4
363,"('men', 'women')",34
364,"('men', 'men')",7
365,"('figure', 'shows')",45
366,"('figure', 'increase')",6
367,"('shows', 'slight')",4
368,"('shows', 'increase')",5
369,"('slight', 'increase')",12
370,"('increase', 'associated')",4
371,"('increase', 'increasing')",12
372,"('increase', 'may')",8
373,"('associated', 'increasing')",3
374,"('associated', 'may')",10
375,"('associated', 'related')",3
376,"('associated', 'increase')",7
377,"('increasing', 'increase')",4
378,"('may', 'related')",40
379,"('may', 'increase')",10
380,"('related', 'increase')",5
381,"('increase', 'absorption')",3
382,"('increase', 'relative')",3
383,"('increase', 'increase')",13
384,"('relative', 'increase')",5
385,"('increase', 'extinction')",3
386,"('increase', 'induced')",4
387,"('increase', 'particles')",3
388,"('extinction', 'induced')",3
389,"('extinction', 'figure')",3
390,"('induced', 'figure')",6
391,"('figure', 'increases')",4
392,"('figure', 'exponent')",4
393,"('shows', 'increases')",4
394,"('increases', 'different')",4
395,"('theångström', 'exponent')",4
396,"('exponent', 'different')",4
397,"('decreases', 'different')",4
398,"('decreases', 'similar')",3
399,"('different', 'study')",42
400,"('different', 'similar')",13
401,"('different', 'result')",30
402,"('study', 'similar')",43
403,"('study', 'result')",28
404,"('similar', 'result')",20
405,"('similar', 'found')",40
406,"('result', 'anderson')",3
407,"('result', 'found')",36
408,"('anderson', 'found')",4
409,"('found', 'china')",5
410,"('outbreaks', 'china')",3
411,"('note', 'exponent')",4
412,"('note', 'directly')",3
413,"('directly', 'related')",8
414,"('directly', 'size')",3
415,"('related', 'size')",10
416,"('related', 'distribution')",6
417,"('slope', 'size')",5
418,"('slope', 'distribution')",5
419,"('size', 'distribution')",19
420,"('size', 'figure')",3
421,"('size', 'shows')",3
422,"('distribution', 'figure')",5
423,"('distribution', 'shows')",3
424,"('distribution', 'increase')",3
425,"('size', 'decreased')",3
426,"('therapy', 'patients')",8
427,"('decreased', 'patients')",6
428,"('decreased', 'contrast')",3
429,"('seven', 'patients')",9
430,"('patients', 'contrast')",31
431,"('patients', 'reports')",11
432,"('patients', 'noted')",3
433,"('contrast', 'reports')",86
434,"('contrast', 'noted')",3
435,"('contrast', 'lower')",8
436,"('reports', 'noted')",6
437,"('reports', 'lower')",15
438,"('noted', 'lower')",5
439,"('noted', 'rate')",3
440,"('lower', 'response')",4
441,"('lower', 'rate')",37
442,"('lower', 'patients')",27
443,"('response', 'rate')",18
444,"('response', 'patients')",8
445,"('rate', 'patients')",20
446,"('patients', 'ecp')",3
447,"('patients', 'late')",4
448,"('patients', 'course')",3
449,"('course', 'four')",3
450,"('course', 'patients')",3
451,"('four', 'five')",5
452,"('four', 'patients')",16
453,"('five', 'patients')",17
454,"('patients', 'therapy')",7
455,"('patients', 'months')",10
456,"('ecp', 'months')",3
457,"('improve', 'rate')",3
458,"('response', 'also')",9
459,"('rate', 'also')",29
460,"('also', 'seems')",9
461,"('seems', 'contrast')",6
462,"('contrast', 'seen')",7
463,"('contrast', 'patient')",4
464,"('contrast', 'delayed')",3
465,"('seen', 'patient')",3
466,"('mrd', 'previous')",3
467,"('detected', 'observation')",3
468,"('detected', 'agreement')",3
469,"('detected', 'previous')",6
470,"('observation', 'agreement')",3
471,"('observation', 'previous')",12
472,"('agreement', 'reports')",16
473,"('agreement', 'hand')",3
474,"('previous', 'reports')",167
475,"('previous', 'hand')",3
476,"('previous', 'cases')",5
477,"('reports', 'cases')",4
478,"('cases', 'detectable')",7
479,"('proportion', 'detectable')",4
480,"('proportion', 'cells')",7
481,"('leukemic', 'cells')",22
482,"('cells', 'increased')",16
483,"('cells', 'time')",7
484,"('increased', 'time')",5
485,"('increased', 'clinical')",5
486,"('time', 'data')",4
487,"('clinical', 'relapse')",4
488,"('clinical', 'data')",4
489,"('data', 'concerning')",4
490,"('data', 'chromosome')",3
491,"('data', 'different')",29
492,"('locus', 'chromosome')",8
493,"('locus', 'different')",5
494,"('different', 'compared')",21
495,"('different', 'earlier')",15
496,"('different', 'reports')",9
497,"('different', 'since')",10
498,"('compared', 'earlier')",9
499,"('compared', 'reports')",9
500,"('earlier', 'reports')",27
501,"('families', 'families')",3
502,"('linkage', 'families')",4
503,"('linkage', 'region')",5
504,"('families', 'region')",3
505,"('observed', 'broad')",3
506,"('observed', 'region')",10
507,"('broad', 'region')",3
508,"('region', 'linkage')",6
509,"('region', 'found')",12
510,"('linkage', 'found')",11
511,"('mutation', 'found')",9
512,"('mutation', 'patients')",8
513,"('mutation', 'less')",3
514,"('found', 'index')",5
515,"('found', 'patients')",40
516,"('found', 'less')",24
517,"('found', 'reported')",42
518,"('index', 'patients')",4
519,"('index', 'reported')",5
520,"('patients', 'less')",16
521,"('patients', 'however')",46
522,"('less', 'reported')",31
523,"('less', 'however')",4
524,"('reported', 'however')",101
525,"('reported', 'mutation')",7
526,"('however', 'prevalence')",8
527,"('however', 'might')",14
528,"('might', 'towards')",4
529,"('bias', 'towards')",4
530,"('bias', 'cases')",4
531,"('familial', 'cases')",7
532,"('cases', 'cases')",12
533,"('mutation', 'cases')",3
534,"('cases', 'sporadic')",3
535,"('cases', 'lower')",9
536,"('five', 'cases')",8
537,"('five', 'lower')",4
538,"('cases', 'study')",18
539,"('cases', 'mutations')",10
540,"('lower', 'study')",50
541,"('lower', 'mutations')",6
542,"('study', 'mutations')",5
543,"('study', 'involved')",11
544,"('mutations', 'involved')",3
545,"('mutations', 'domain')",5
546,"('common', 'mutation')",4
547,"('common', 'reported')",6
548,"('mutation', 'reported')",7
549,"('reported', 'transition')",6
550,"('reported', 'position')",4
551,"('transition', 'present')",4
552,"('present', 'four')",6
553,"('present', 'patients')",16
554,"('index', 'study')",6
555,"('patients', 'thus')",3
556,"('patients', 'total')",3
557,"('study', 'thus')",8
558,"('study', 'total')",20
559,"('study', 'number')",21
560,"('thus', 'mutations')",3
561,"('total', 'number')",10
562,"('number', 'mutations')",3
563,"('number', 'data')",6
564,"('mutations', 'data')",4
565,"('identified', 'data')",4
566,"('data', 'suggest')",55
567,"('data', 'role')",11
568,"('suggest', 'key')",3
569,"('suggest', 'role')",32
570,"('domain', 'key')",5
571,"('key', 'role')",11
572,"('role', 'protein')",4
573,"('state', 'also')",4
574,"('protein', 'also')",11
575,"('protein', 'detected')",4
576,"('also', 'detected')",24
577,"('also', 'analysis')",17
578,"('detected', 'analysis')",3
579,"('detected', 'dna')",3
580,"('analysis', 'dna')",4
581,"('genomic', 'dna')",11
582,"('cell', 'death')",66
583,"('cell', 'results')",16
584,"('cell', 'loss')",5
585,"('death', 'results')",4
586,"('results', 'loss')",7
587,"('results', 'following')",5
588,"('muscle', 'loss')",5
589,"('loss', 'following')",3
590,"('following', 'results')",10
591,"('cycles', 'lack')",4
592,"('results', 'contrast')",139
593,"('results', 'previous')",173
594,"('results', 'lack')",15
595,"('results', 'evidence')",24
596,"('contrast', 'previous')",255
597,"('contrast', 'evidence')",14
598,"('contrast', 'dna')",3
599,"('previous', 'lack')",4
600,"('previous', 'evidence')",22
601,"('lack', 'evidence')",6
602,"('evidence', 'dna')",10
603,"('dna', 'fragmentation')",7
604,"('suggest', 'may')",45
605,"('mechanisms', 'may')",6
606,"('apoptosis', 'may')",7
607,"('apoptosis', 'determine')",3
608,"('apoptosis', 'cell')",40
609,"('may', 'indeed')",12
610,"('may', 'determine')",4
611,"('may', 'cell')",19
612,"('may', 'loss')",5
613,"('indeed', 'cell')",3
614,"('dna', 'however')",18
615,"('molecular', 'weight')",12
616,"('molecular', 'however')",4
617,"('weight', 'however')",10
618,"('weight', 'differences')",6
619,"('however', 'differences')",42
620,"('however', 'cell')",21
621,"('differences', 'cell')",19
622,"('cell', 'mobilization')",4
623,"('using', 'alone')",4
624,"('using', 'reported')",12
625,"('plus', 'reported')",5
626,"('reported', 'relatively')",8
627,"('reported', 'small')",9
628,"('reported', 'size')",6
629,"('relatively', 'small')",22
630,"('relatively', 'study')",7
631,"('relatively', 'may')",6
632,"('small', 'size')",28
633,"('small', 'study')",9
634,"('small', 'may')",9
635,"('size', 'study')",13
636,"('size', 'may')",10
637,"('study', 'may')",79
638,"('study', 'reason')",7
639,"('study', 'failure')",3
640,"('study', 'detect')",13
641,"('may', 'reason')",3
642,"('may', 'differences')",74
643,"('reason', 'differences')",7
644,"('detect', 'differences')",5
645,"('differences', 'two')",27
646,"('two', 'possible')",7
647,"('therefore', 'possible')",11
648,"('partially', 'since')",3
649,"('since', 'activity')",5
650,"('important', 'regulator')",5
651,"('important', 'activity')",6
652,"('important', 'although')",10
653,"('regulator', 'activity')",3
654,"('activity', 'although')",7
655,"('activity', 'directly')",7
656,"('although', 'directly')",9
657,"('although', 'binding')",4
658,"('leptin', 'binding')",4
659,"('directly', 'stimulate')",6
660,"('directly', 'binding')",3
661,"('bat', 'animals')",4
662,"('animals', 'present')",5
663,"('present', 'observations')",16
664,"('present', 'exclude')",4
665,"('present', 'possibility')",7
666,"('present', 'may')",43
667,"('observations', 'exclude')",3
668,"('observations', 'possibility')",3
669,"('observations', 'may')",12
670,"('exclude', 'possibility')",26
671,"('exclude', 'may')",10
672,"('possibility', 'may')",19
673,"('may', 'complex')",6
674,"('may', 'way')",8
675,"('may', 'stimulation')",3
676,"('stimulation', 'bat')",3
677,"('stimulation', 'induced')",3
678,"('feeding', 'previously')",3
679,"('previously', 'insulin')",4
680,"('reported', 'insulin')",4
681,"('insulin', 'infusion')",3
682,"('insulin', 'fed')",3
683,"('animals', 'also')",3
684,"('also', 'observed')",82
685,"('also', 'direct')",8
686,"('also', 'correlation')",12
687,"('observed', 'direct')",3
688,"('observed', 'correlation')",20
689,"('observed', 'although')",23
690,"('direct', 'correlation')",5
691,"('direct', 'although')",3
692,"('correlation', 'although')",7
693,"('pten', 'although')",3
694,"('although', 'reach')",7
695,"('although', 'significance')",11
696,"('although', 'similar')",7
697,"('reach', 'significance')",14
698,"('reach', 'similar')",6
699,"('significance', 'reported')",5
700,"('similar', 'observation')",6
701,"('similar', 'already')",4
702,"('similar', 'reported')",55
703,"('observation', 'reported')",9
704,"('already', 'reported')",16
705,"('reported', 'prostate')",4
706,"('reported', 'cancer')",7
707,"('reported', 'although')",37
708,"('prostate', 'cancer')",24
709,"('cancer', 'although')",3
710,"('tissues', 'although')",3
711,"('although', 'reason')",3
712,"('although', 'remains')",3
713,"('reason', 'unclear')",7
714,"('remains', 'unclear')",8
715,"('contrasts', 'line')",4
716,"('contrasts', 'observations')",10
717,"('vitro', 'cell')",3
718,"('cell', 'line')",59
719,"('cell', 'observations')",4
720,"('cell', 'expression')",13
721,"('line', 'observations')",7
722,"('line', 'expression')",3
723,"('observations', 'expression')",3
724,"('pten', 'expression')",4
725,"('expression', 'correlated')",6
726,"('expression', 'activation')",6
727,"('inversely', 'correlated')",5
728,"('correlated', 'observed')",3
729,"('activation', 'akt')",9
730,"('activation', 'also')",12
731,"('activation', 'observed')",11
732,"('akt', 'also')",3
733,"('also', 'positive')",13
734,"('also', 'result')",9
735,"('observed', 'positive')",7
736,"('observed', 'result')",18
737,"('observed', 'supports')",11
738,"('positive', 'correlation')",19
739,"('positive', 'result')",9
740,"('correlation', 'result')",6
741,"('correlation', 'reports')",3
742,"('result', 'reports')",4
743,"('result', 'showing')",9
744,"('result', 'significant')",8
745,"('reports', 'showing')",7
746,"('reports', 'significant')",11
747,"('reports', 'association')",5
748,"('showing', 'significant')",3
749,"('showing', 'association')",6
750,"('showing', 'expression')",10
751,"('significant', 'association')",39
752,"('association', 'expression')",8
753,"('also', 'studies')",25
754,"('also', 'showing')",3
755,"('also', 'significant')",23
756,"('studies', 'showing')",31
757,"('studies', 'significant')",38
758,"('studies', 'association')",16
759,"('studies', 'low')",14
760,"('significant', 'low')",4
761,"('significant', 'cytoplasmic')",3
762,"('association', 'low')",7
763,"('outcome', 'cohort')",4
764,"('patient', 'cohort')",5
765,"('patient', 'relapse')",6
766,"('patient', 'months')",4
767,"('late', 'results')",4
768,"('months', 'results')",3
769,"('results', 'suggest')",119
770,"('results', 'may')",96
771,"('may', 'prostate')",5
772,"('prognosis', 'cancer')",3
773,"('advanced', 'patients')",3
774,"('prostate', 'results')",3
775,"('cancer', 'patients')",18
776,"('cancer', 'results')",10
777,"('patients', 'results')",21
778,"('patients', 'showed')",18
779,"('results', 'showed')",64
780,"('results', 'presence')",17
781,"('results', 'increased')",11
782,"('showed', 'presence')",3
783,"('showed', 'increased')",16
784,"('showed', 'activity')",10
785,"('presence', 'increased')",5
786,"('presence', 'activity')",8
787,"('increased', 'activity')",11
788,"('increased', 'results')",4
789,"('activity', 'results')",24
790,"('receptors', 'results')",3
791,"('receptors', 'activity')",3
792,"('results', 'reporting')",4
793,"('results', 'increase')",12
794,"('results', 'activity')",14
795,"('results', 'presumably')",3
796,"('reporting', 'increase')",3
797,"('increase', 'activity')",17
798,"('increase', 'binding')",3
799,"('activity', 'binding')",5
800,"('activity', 'presence')",4
801,"('binding', 'presence')",3
802,"('erent', 'may')",4
803,"('presented', 'may')",4
804,"('may', 'represent')",10
805,"('may', 'erent')",5
806,"('may', 'experimental')",3
807,"('may', 'conditions')",6
808,"('erent', 'cell')",4
809,"('experimental', 'conditions')",25
810,"('experimental', 'cell')",3
811,"('experimental', 'used')",6
812,"('conditions', 'cell')",7
813,"('conditions', 'used')",13
814,"('conditions', 'activation')",3
815,"('cell', 'types')",28
816,"('cell', 'used')",23
817,"('cell', 'activation')",10
818,"('types', 'used')",4
819,"('activation', 'mapk')",7
820,"('activation', 'leads')",5
821,"('activation', 'phosphorylation')",6
822,"('activation', 'transcription')",10
823,"('leads', 'transcription')",4
824,"('phosphorylation', 'transcription')",3
825,"('transcription', 'factor')",27
826,"('factor', 'serum')",3
827,"('transcription', 'serum')",3
828,"('transcription', 'response')",4
829,"('transcription', 'promoter')",3
830,"('serum', 'response')",3
831,"('response', 'promoter')",4
832,"('elements', 'promoter')",3
833,"('elements', 'shown')",4
834,"('promoter', 'also')",6
835,"('promoter', 'shown')",3
836,"('also', 'shown')",46
837,"('also', 'contribute')",8
838,"('also', 'cell')",17
839,"('also', 'cycle')",7
840,"('shown', 'contribute')",3
841,"('shown', 'cell')",20
842,"('shown', 'cycle')",3
843,"('shown', 'inducing')",6
844,"('contribute', 'cell')",6
845,"('cell', 'cycle')",80
846,"('cell', 'phosphorylation')",3
847,"('phosphorylation', 'kinase')",6
848,"('synthase', 'kinase')",4
849,"('kinase', 'activating')",3
850,"('kinase', 'kinase')",5
851,"('kinase', 'chung')",4
852,"('kinase', 'however')",5
853,"('kinase', 'results')",8
854,"('chung', 'results')",3
855,"('however', 'strongly')",12
856,"('however', 'suggest')",33
857,"('however', 'pathway')",9
858,"('results', 'strongly')",16
859,"('results', 'pathway')",17
860,"('results', 'play')",7
861,"('strongly', 'suggest')",20
862,"('strongly', 'play')",5
863,"('strongly', 'role')",6
864,"('suggest', 'pathway')",4
865,"('suggest', 'play')",10
866,"('suggest', 'transcription')",3
867,"('pathway', 'play')",5
868,"('pathway', 'role')",7
869,"('pathway', 'cells')",11
870,"('play', 'role')",84
871,"('play', 'transcription')",3
872,"('role', 'transcription')",4
873,"('role', 'cells')",16
874,"('role', 'activation')",13
875,"('transcription', 'cells')",9
876,"('transcription', 'activation')",4
877,"('cells', 'activation')",25
878,"('transcription', 'expression')",4
879,"('cells', 'whether')",6
880,"('cells', 'expression')",37
881,"('weak', 'expression')",3
882,"('expression', 'function')",4
883,"('function', 'protein')",7
884,"('rather', 'function')",3
885,"('protein', 'remains')",3
886,"('remains', 'elucidated')",4
887,"('expression', 'pattern')",4
888,"('expression', 'detected')",13
889,"('expression', 'contrasts')",4
890,"('pattern', 'contrasts')",3
891,"('suggesting', 'possible')",3
892,"('suggesting', 'involvement')",3
893,"('recombination', 'also')",4
894,"('data', 'reveal')",12
895,"('data', 'also')",48
896,"('data', 'another')",14
897,"('also', 'another')",8
898,"('also', 'striking')",3
899,"('also', 'erence')",3
900,"('cells', 'study')",40
901,"('cells', 'protein')",25
902,"('cells', 'known')",4
903,"('study', 'protein')",13
904,"('study', 'known')",3
905,"('protein', 'phase')",4
906,"('absent', 'phase')",3
907,"('quiescent', 'cells')",4
908,"('phase', 'cells')",11
909,"('expressed', 'cells')",6
910,"('cells', 'mitotic')",3
911,"('reported', 'similar')",50
912,"('reported', 'observations')",9
913,"('reported', 'found')",52
914,"('reported', 'significant')",34
915,"('similar', 'observations')",10
916,"('similar', 'difference')",7
917,"('observations', 'found')",25
918,"('observations', 'significant')",4
919,"('observations', 'difference')",3
920,"('found', 'difference')",36
921,"('found', 'survival')",8
922,"('found', 'contrast')",31
923,"('significant', 'difference')",85
924,"('significant', 'survival')",7
925,"('significant', 'contrast')",15
926,"('difference', 'survival')",7
927,"('difference', 'contrast')",7
928,"('difference', 'reported')",24
929,"('survival', 'reported')",10
930,"('contrast', 'reported')",142
931,"('contrast', 'longer')",3
932,"('contrast', 'survival')",5
933,"('reported', 'longer')",6
934,"('reported', 'survival')",15
935,"('reported', 'patients')",54
936,"('longer', 'survival')",3
937,"('longer', 'patients')",3
938,"('longer', 'disease')",3
